,item,itemLabel
140,http://www.wikidata.org/entity/Q55789834,Cantu Sanchez-Corona Fragoso syndrome
141,http://www.wikidata.org/entity/Q838018,Capgras syndrome
142,http://www.wikidata.org/entity/Q2938099,Cardiophobia
143,http://www.wikidata.org/entity/Q56014368,Carpenter-Waziri syndrome
144,http://www.wikidata.org/entity/Q55789841,Cartwright Nelson Fryns syndrome
145,http://www.wikidata.org/entity/Q5051865,Catel–Manzke syndrome
146,http://www.wikidata.org/entity/Q28024512,Cayman type cerebellar ataxia
147,http://www.wikidata.org/entity/Q55783421,Cerebrooculonasal syndrome
148,http://www.wikidata.org/entity/Q16545548,Cervicogenic headache
149,http://www.wikidata.org/entity/Q3281260,Charcot-Marie-Tooth disease type X
150,http://www.wikidata.org/entity/Q1063097,Charcot–Wilbrand syndrome
151,http://www.wikidata.org/entity/Q2868786,Charlevoix-Saguenay spastic ataxia
152,http://www.wikidata.org/entity/Q3997973,Childbirth-related posttraumatic stress disorder
153,http://www.wikidata.org/entity/Q3693493,Choreoathetosis
154,http://www.wikidata.org/entity/Q28065629,Christianson syndrome
155,http://www.wikidata.org/entity/Q56014366,Chudley-Lowry-Hoar syndrome
156,http://www.wikidata.org/entity/Q47483025,Clark-Baraitser syndrome
157,http://www.wikidata.org/entity/Q1104126,Classic autism
158,http://www.wikidata.org/entity/Q66417369,Climate psychosis
159,http://www.wikidata.org/entity/Q5135315,Closed-eye hallucination
160,http://www.wikidata.org/entity/Q5136677,Cluster B personality disorders
161,http://www.wikidata.org/entity/Q1106881,Coffin-Lowry syndrome
162,http://www.wikidata.org/entity/Q2348105,Coffin-Siris syndrome
163,http://www.wikidata.org/entity/Q1107087,Cohen syndrome
164,http://www.wikidata.org/entity/Q5151412,Comedown
165,http://www.wikidata.org/entity/Q18348488,Communication deviance
166,http://www.wikidata.org/entity/Q5156657,Complications of traumatic brain injury
167,http://www.wikidata.org/entity/Q2941671,"Congenital cataracts, facial dysmorphism, and neuropathy"
168,http://www.wikidata.org/entity/Q3620998,Constructional apraxia
169,http://www.wikidata.org/entity/Q2411489,Coprographia
170,http://www.wikidata.org/entity/Q55346059,Corticobasal syndrome
171,http://www.wikidata.org/entity/Q1136492,Costello syndrome
172,http://www.wikidata.org/entity/Q1069110,Cotard delusion
173,http://www.wikidata.org/entity/Q5176954,Counterdependency
174,http://www.wikidata.org/entity/Q852094,Couvade syndrome
175,http://www.wikidata.org/entity/Q97674167,Covidiot
176,http://www.wikidata.org/entity/Q19277644,Crane-Heise syndrome
177,http://www.wikidata.org/entity/Q51122293,Craniotelencephalic dysplasia
178,http://www.wikidata.org/entity/Q55783480,Cree mental retardation syndrome
179,http://www.wikidata.org/entity/Q49989,Creutzfeldt-Jakob disease
180,http://www.wikidata.org/entity/Q5187584,Crome syndrome
181,http://www.wikidata.org/entity/Q28683899,Cult Indoctrinee Syndrome
182,http://www.wikidata.org/entity/Q55781501,Czeizel-Losonci syndrome
183,http://www.wikidata.org/entity/Q2003840,DES daughter
184,http://www.wikidata.org/entity/Q1154764,DOOR syndrome
185,http://www.wikidata.org/entity/Q55786768,DYRK1A-related intellectual disability syndrome due to 21q22.13q22.2 microdeletion
186,http://www.wikidata.org/entity/Q2140711,Dancing mania
187,http://www.wikidata.org/entity/Q5220984,Danon disease
188,http://www.wikidata.org/entity/Q55790129,Davis Lafer syndrome
189,http://www.wikidata.org/entity/Q3843801,DeSanctis–Cacchione syndrome
190,http://www.wikidata.org/entity/Q55609245,Death-grip syndrome
191,http://www.wikidata.org/entity/Q5250381,Deep dyslexia
192,http://www.wikidata.org/entity/Q4166158,"Deficits in attention, motor control and perception"
193,http://www.wikidata.org/entity/Q5254901,Delusional companion syndrome
194,http://www.wikidata.org/entity/Q2182344,"Delusional disorder, somatic type"
195,http://www.wikidata.org/entity/Q5254902,Delusional intuition
196,http://www.wikidata.org/entity/Q56014575,Dennis-Fairhurst-Moore syndrome
197,http://www.wikidata.org/entity/Q5260908,Depression in childhood and adolescence
198,http://www.wikidata.org/entity/Q5260912,Depression of Alzheimer disease
199,http://www.wikidata.org/entity/Q3540880,Depressive Disorder Not Otherwise Specified
200,http://www.wikidata.org/entity/Q388545,Dermatophagia
201,http://www.wikidata.org/entity/Q5262716,Dermatothlasia
202,http://www.wikidata.org/entity/Q5266803,Developmental dysfluency
203,http://www.wikidata.org/entity/Q1561430,Developmental verbal dyspraxia
204,http://www.wikidata.org/entity/Q55783728,Devriendt syndrome
205,http://www.wikidata.org/entity/Q13407052,Digital voyeurism
206,http://www.wikidata.org/entity/Q1226826,Diogenes syndrome
207,http://www.wikidata.org/entity/Q1227259,Diplophonia
208,http://www.wikidata.org/entity/Q1290901,Dippoldism
209,http://www.wikidata.org/entity/Q5282244,Disinhibition
210,http://www.wikidata.org/entity/Q18459180,Disruptive mood dysregulation disorder
211,http://www.wikidata.org/entity/Q10276697,Dissociative stupor
212,http://www.wikidata.org/entity/Q3092721,Doll fetish
213,http://www.wikidata.org/entity/Q5292874,Don Juanism
214,http://www.wikidata.org/entity/Q19001108,"Drug dependence complicating pregnancy, childbirth, or the puerperium"
215,http://www.wikidata.org/entity/Q5308804,Drug-induced amnesia
216,http://www.wikidata.org/entity/Q4167713,Drunkorexia
217,http://www.wikidata.org/entity/Q2914812,Dual diagnosis
218,http://www.wikidata.org/entity/Q574741,Dubowitz syndrome
219,http://www.wikidata.org/entity/Q2336418,Dysaethesia Aethiopica
220,http://www.wikidata.org/entity/Q5319401,Dysexecutive syndrome
221,http://www.wikidata.org/entity/Q97366766,Dysorgasmia
222,http://www.wikidata.org/entity/Q5319556,Dysprosody
223,http://www.wikidata.org/entity/Q5322531,EAST syndrome
224,http://www.wikidata.org/entity/Q492054,Eating disorder not otherwise specified
225,http://www.wikidata.org/entity/Q98212994,Ecophobia
226,http://www.wikidata.org/entity/Q69906769,Elimination Disorders
227,http://www.wikidata.org/entity/Q16678468,Elpenor’s Syndrome
228,http://www.wikidata.org/entity/Q3144201,Excessive daytime sleepiness
229,http://www.wikidata.org/entity/Q22933529,Excoriated acne
230,http://www.wikidata.org/entity/Q5420055,Exercise bulimia
231,http://www.wikidata.org/entity/Q5420726,Exotic ungulate encephalopathy
232,http://www.wikidata.org/entity/Q55788088,FBLN1-related developmental delay-central nervous system anomaly-syndactyly syndrome
233,http://www.wikidata.org/entity/Q112939337,FBXW7 neurodevelopmental syndrome
234,http://www.wikidata.org/entity/Q55790216,FRAXD syndrome
235,http://www.wikidata.org/entity/Q21051307,FRAXE intellectual disability
236,http://www.wikidata.org/entity/Q18553730,FTDALS1
237,http://www.wikidata.org/entity/Q18553731,FTDALS2
238,http://www.wikidata.org/entity/Q27164433,FTDALS3
239,http://www.wikidata.org/entity/Q27164434,FTDALS4
240,http://www.wikidata.org/entity/Q4346963,Factitious dermatitis
241,http://www.wikidata.org/entity/Q5428701,Factitious diarrhea
242,http://www.wikidata.org/entity/Q195961,False memory syndrome
243,http://www.wikidata.org/entity/Q5437105,Fasting girl
244,http://www.wikidata.org/entity/Q65211038,Fear of Being Offline
245,http://www.wikidata.org/entity/Q1539031,Fear of God
246,http://www.wikidata.org/entity/Q16753510,Fear of missing out
247,http://www.wikidata.org/entity/Q5441238,Feeding disorder
248,http://www.wikidata.org/entity/Q55790235,Feingold Trainer syndrome
249,http://www.wikidata.org/entity/Q5445904,Fetal hydantoin syndrome
250,http://www.wikidata.org/entity/Q5445919,Fetal trimethadione syndrome
251,http://www.wikidata.org/entity/Q3961674,Filippi syndrome
252,http://www.wikidata.org/entity/Q55783094,Fine-Lubinsky syndrome
253,http://www.wikidata.org/entity/Q25111774,Flaccid dysarthria
254,http://www.wikidata.org/entity/Q5459852,Floating-Harbor syndrome
255,http://www.wikidata.org/entity/Q5464019,Foerster's syndrome
256,http://www.wikidata.org/entity/Q108760799,Food avoidance emotional disorder
257,http://www.wikidata.org/entity/Q856736,Foreign accent syndrome
258,http://www.wikidata.org/entity/Q5474830,Fountain syndrome
259,http://www.wikidata.org/entity/Q5477713,Fragmentation of memory
260,http://www.wikidata.org/entity/Q6137182,Frankenstein syndrome
261,http://www.wikidata.org/entity/Q1453767,Fregoli delusion
262,http://www.wikidata.org/entity/Q18411789,Fried syndrome
263,http://www.wikidata.org/entity/Q15043641,Frontotemporal dementia and parkinsonism linked to chromosome 17
264,http://www.wikidata.org/entity/Q3508635,Fryns syndrome
265,http://www.wikidata.org/entity/Q55790270,Fryns-Smeets-Thiry syndrome
266,http://www.wikidata.org/entity/Q30314097,Functional somatic syndrome
267,http://www.wikidata.org/entity/Q5512866,GAPO syndrome
268,http://www.wikidata.org/entity/Q112629079,GATAD2B-associated neurodevelopmental disorder
269,http://www.wikidata.org/entity/Q55787840,GM3 synthase deficiency
270,http://www.wikidata.org/entity/Q5513797,GMS syndrome
271,http://www.wikidata.org/entity/Q21082503,GRID2-related autosomal dominant spinocerebellar ataxia
272,http://www.wikidata.org/entity/Q107389455,GRIN disorder
273,http://www.wikidata.org/entity/Q3043478,GRN-related frontotemporal lobar degeneration with Tdp43 inclusions
274,http://www.wikidata.org/entity/Q94262854,Gabriele-de Vries syndrome
275,http://www.wikidata.org/entity/Q911160,Ganser syndrome
276,http://www.wikidata.org/entity/Q55790274,Garret Tripp syndrome
277,http://www.wikidata.org/entity/Q9300438,Gear acquisition syndrome
278,http://www.wikidata.org/entity/Q55345943,Gemignani syndrome
279,http://www.wikidata.org/entity/Q10864060,General adaptation syndrome
280,http://www.wikidata.org/entity/Q5533246,Genitopatellar syndrome
281,http://www.wikidata.org/entity/Q5535458,Geomelophagia
282,http://www.wikidata.org/entity/Q383228,Gerstmann-Straussler-Scheinker syndrome
283,http://www.wikidata.org/entity/Q1826263,Gestaltzerfall
284,http://www.wikidata.org/entity/Q5557311,Ghost sickness
285,http://www.wikidata.org/entity/Q55783942,Giacheti syndrome
286,http://www.wikidata.org/entity/Q5562120,Gillespie syndrome
287,http://www.wikidata.org/entity/Q5567102,Glass delusion
288,http://www.wikidata.org/entity/Q2680381,Godot's syndrome
289,http://www.wikidata.org/entity/Q3508639,Goldberg-Shprintzen syndrome
290,http://www.wikidata.org/entity/Q25324175,Gomez and López-Hernández syndrome
291,http://www.wikidata.org/entity/Q3007167,Gorean subculture
292,http://www.wikidata.org/entity/Q5588436,Gourmand syndrome
293,http://www.wikidata.org/entity/Q60574720,Grammar Pedantry Syndrome
294,http://www.wikidata.org/entity/Q18392425,Graphorrhea
295,http://www.wikidata.org/entity/Q55781924,Grubben-de Cock-Borghgraef syndrome
296,http://www.wikidata.org/entity/Q11811700,Guadeloupean parkinsonism
297,http://www.wikidata.org/entity/Q65063382,HIDEA syndrome
298,http://www.wikidata.org/entity/Q50846110,HSD10 disease
299,http://www.wikidata.org/entity/Q5641058,Halal syndrome
300,http://www.wikidata.org/entity/Q55781926,Hall-Riggs syndrome
301,http://www.wikidata.org/entity/Q1459851,Hallermann-Streiff syndrome
302,http://www.wikidata.org/entity/Q5643617,Haltlose personality disorder
303,http://www.wikidata.org/entity/Q55788871,Hamel cerebro-palato-cardiac syndrome
304,http://www.wikidata.org/entity/Q5656137,Harding ataxia
305,http://www.wikidata.org/entity/Q55782932,Harrod syndrome
306,http://www.wikidata.org/entity/Q5689498,Headache attributed to a substance or its withdrawal
307,http://www.wikidata.org/entity/Q4116329,Health effects of wine
308,http://www.wikidata.org/entity/Q426620,Heautoscopy
309,http://www.wikidata.org/entity/Q50349632,Helsmoortel-Van Der Aa syndrome
310,http://www.wikidata.org/entity/Q17145743,Hemimotor neglect
311,http://www.wikidata.org/entity/Q55786116,Hern
312,http://www.wikidata.org/entity/Q55780948,Hirsutism-skeletal dysplasia-intellectual disability syndrome
313,http://www.wikidata.org/entity/Q5880534,Holiday heart syndrome
314,http://www.wikidata.org/entity/Q56014365,Holmes-Gang syndrome
315,http://www.wikidata.org/entity/Q17030626,Homicidal ideation
316,http://www.wikidata.org/entity/Q190564,Huntington's disease
317,http://www.wikidata.org/entity/Q24977062,Huntington's disease-like syndrome
318,http://www.wikidata.org/entity/Q716847,Hwabyeong
319,http://www.wikidata.org/entity/Q5952606,Hyalophagia
320,http://www.wikidata.org/entity/Q5958196,Hyperkatifeia
321,http://www.wikidata.org/entity/Q25111776,Hypermerimna
322,http://www.wikidata.org/entity/Q17155582,Hypernasal speech
323,http://www.wikidata.org/entity/Q5958422,Hyperorgasmia
324,http://www.wikidata.org/entity/Q5958573,Hypersexual disorder
325,http://www.wikidata.org/entity/Q5960001,Hypophonia
326,http://www.wikidata.org/entity/Q16947142,Hysteroid dysphoria
327,http://www.wikidata.org/entity/Q55346051,ITM2B amyloidosis
328,http://www.wikidata.org/entity/Q5986402,Ichthyoallyeinotoxism
329,http://www.wikidata.org/entity/Q5988100,Ideational apraxia
330,http://www.wikidata.org/entity/Q25100073,Identity disturbance
331,http://www.wikidata.org/entity/Q38076020,Ideophrenia
332,http://www.wikidata.org/entity/Q1656812,Idiolalia
333,http://www.wikidata.org/entity/Q2730080,Idiopathic Hypersomnia
334,http://www.wikidata.org/entity/Q259065,Imaginary friend
335,http://www.wikidata.org/entity/Q6005911,Impact of alcohol on aging
336,http://www.wikidata.org/entity/Q6029060,Infantile neuroaxonal dystrophy
337,http://www.wikidata.org/entity/Q6029065,Infantile speech
338,http://www.wikidata.org/entity/Q108018120,Infectious Psychosis
339,http://www.wikidata.org/entity/Q3043342,Intensive care unit delirium
340,http://www.wikidata.org/entity/Q17142111,Interictal dysphoric disorder
341,http://www.wikidata.org/entity/Q3417919,Intermetamorphosis
342,http://www.wikidata.org/entity/Q831735,Internet addiction disorder
343,http://www.wikidata.org/entity/Q3377827,Internet phobia
344,http://www.wikidata.org/entity/Q1514248,Internet sex addiction
345,http://www.wikidata.org/entity/Q16944791,Intravenous Marijuana Syndrome
346,http://www.wikidata.org/entity/Q13476327,Ipovlopsychophobia
347,http://www.wikidata.org/entity/Q2703116,Isodicentric 15
348,http://www.wikidata.org/entity/Q6160183,Jargon aphasia
349,http://www.wikidata.org/entity/Q55782103,Jawad syndrome
350,http://www.wikidata.org/entity/Q1124410,Jerusalem syndrome
351,http://www.wikidata.org/entity/Q16940647,Johnson–McMillin syndrome
352,http://www.wikidata.org/entity/Q1101694,Joubert syndrome
353,http://www.wikidata.org/entity/Q55345933,Joubert syndrome and related disorders
354,http://www.wikidata.org/entity/Q56014367,Juberg-Marsidi syndrome
355,http://www.wikidata.org/entity/Q1718432,KBG syndrome
356,http://www.wikidata.org/entity/Q4420151,Kandinsky–Clérambault syndrome
357,http://www.wikidata.org/entity/Q17128230,Kapur–Toriello syndrome
358,http://www.wikidata.org/entity/Q6368059,Karak syndrome
359,http://www.wikidata.org/entity/Q6374996,Katagelasticism
360,http://www.wikidata.org/entity/Q6378691,Kaufman oculocerebrofacial syndrome
361,http://www.wikidata.org/entity/Q6395632,Keutel syndrome
362,http://www.wikidata.org/entity/Q6410625,Kindling
363,http://www.wikidata.org/entity/Q6420021,Klazomania
364,http://www.wikidata.org/entity/Q613809,Kleine-Levin syndrome
365,http://www.wikidata.org/entity/Q367929,Klüver–Bucy syndrome
366,http://www.wikidata.org/entity/Q55790322,Koone Rizzo Elias syndrome
367,http://www.wikidata.org/entity/Q622901,Korsakoff's syndrome
368,http://www.wikidata.org/entity/Q55790341,Kozlowski Ouvrier syndrome
369,http://www.wikidata.org/entity/Q55790347,Kozlowski Rafinski Klicharska syndrome
370,http://www.wikidata.org/entity/Q3043340,Kretschmer’s sensitive paranoia
371,http://www.wikidata.org/entity/Q6441908,Kufor-Rakeb syndrome
372,http://www.wikidata.org/entity/Q2555537,Lacunar amnesia
373,http://www.wikidata.org/entity/Q18757595,Lalophobia
374,http://www.wikidata.org/entity/Q55784997,Lamb-Shaffer syndrome
375,http://www.wikidata.org/entity/Q55782031,Lambert syndrome
376,http://www.wikidata.org/entity/Q17148671,Language-based learning disability
377,http://www.wikidata.org/entity/Q3508664,Lasthenie de Ferjol syndrome
378,http://www.wikidata.org/entity/Q438896,Late life depression
379,http://www.wikidata.org/entity/Q3961678,Laurence-Moon syndrome
380,http://www.wikidata.org/entity/Q6510192,Learning problems in childhood cancer
381,http://www.wikidata.org/entity/Q6523462,Lenz–Majewski syndrome
382,http://www.wikidata.org/entity/Q6530306,Leschke syndrome
383,http://www.wikidata.org/entity/Q6534830,Levamisole Induced Necrosis Syndrome
384,http://www.wikidata.org/entity/Q1331905,Lewy body dementia
385,http://www.wikidata.org/entity/Q63943905,Limbic-predominant age-related TDP-43 encephalopathy
386,http://www.wikidata.org/entity/Q6672148,Long-term impact of alcohol on the brain
387,http://www.wikidata.org/entity/Q6693036,Low pressure hydrocephalus
388,http://www.wikidata.org/entity/Q6694174,Lowry–MacLean syndrome
389,http://www.wikidata.org/entity/Q640836,Lujan–Fryns syndrome
390,http://www.wikidata.org/entity/Q3508653,Lytico-bodig disease
391,http://www.wikidata.org/entity/Q55783809,MAFD4
392,http://www.wikidata.org/entity/Q55783819,MAFD6
393,http://www.wikidata.org/entity/Q55787983,MAN1B1-CDG
394,http://www.wikidata.org/entity/Q6714500,MASA syndrome
395,http://www.wikidata.org/entity/Q24975607,MECP2 duplication syndrome
396,http://www.wikidata.org/entity/Q22030615,MEDNIK syndrome
397,http://www.wikidata.org/entity/Q9390272,MEHMO syndrome
398,http://www.wikidata.org/entity/Q55782508,MEND syndrome
399,http://www.wikidata.org/entity/Q55783082,MMEP syndrome
400,http://www.wikidata.org/entity/Q3026441,Machado-Joseph disease
401,http://www.wikidata.org/entity/Q10575278,Magnan's sign
402,http://www.wikidata.org/entity/Q6738337,Major depressive episode
403,http://www.wikidata.org/entity/Q8776355,Maladaptive daydreaming
404,http://www.wikidata.org/entity/Q4280488,Manichean delusion
405,http://www.wikidata.org/entity/Q94796,Marchiafava-Bignami disease
406,http://www.wikidata.org/entity/Q6758640,Marden–Walker syndrome
407,http://www.wikidata.org/entity/Q2628677,Marinesco-Sjogren syndrome
408,http://www.wikidata.org/entity/Q2580627,Masked depression
409,http://www.wikidata.org/entity/Q79052868,Mathematical disorder
410,http://www.wikidata.org/entity/Q55782071,McDonough syndrome
411,http://www.wikidata.org/entity/Q966149,McLeod syndrome
412,http://www.wikidata.org/entity/Q18026348,Megalocornea-mental retardation syndrome
