,item,itemLabel,itemDescription,drugs,drugsLabel
34,http://www.wikidata.org/entity/Q4060284,Accentuation of personality traits,,,
35,http://www.wikidata.org/entity/Q104844018,Achiria,,,
36,http://www.wikidata.org/entity/Q10355293,Acute toxic psychosis,,,
37,http://www.wikidata.org/entity/Q90249065,Adele syndrome,,,
38,http://www.wikidata.org/entity/Q357522,Adipsia,Clinically significant lack of expression of thirst,,
39,http://www.wikidata.org/entity/Q17992586,Adolescent paranoia,,,
40,http://www.wikidata.org/entity/Q1812920,Adult attention deficit hyperactivity disorder,the neurobiological condition of attention deficit hyperactivity disorder (ADHD) in adults,,
41,http://www.wikidata.org/entity/Q4693581,Agoraphobia Without History of Panic Disorder,,,
42,http://www.wikidata.org/entity/Q403463,Aicardi syndrome,"syndrome that is characterized by absence or underdeveloped tissue connecting the left and right halves of the brain, infantile spasms and chorioretinal lacunae, which are defects in the light-sensitive tissue at the back of the eye",,
43,http://www.wikidata.org/entity/Q4713249,Alcohol and breast cancer,,,
44,http://www.wikidata.org/entity/Q4713250,Alcohol and cardiovascular disease,Effects of alcohol consumption on cardiovascular health,,
45,http://www.wikidata.org/entity/Q4713257,Alcohol and weight,,,
46,http://www.wikidata.org/entity/Q4713264,Alcohol dementia,medical condition,,
47,http://www.wikidata.org/entity/Q28135156,Alcohol intolerance,medical condition,,
48,http://www.wikidata.org/entity/Q16002418,Alcohol myopia,theory about alcohol's effect on behavior,,
49,http://www.wikidata.org/entity/Q4713313,Alcohol use and sleep,Human disease,,
50,http://www.wikidata.org/entity/Q22236199,Alcohol-induced respiratory reactions,response to the consumption of alcohol,,
51,http://www.wikidata.org/entity/Q9186667,Alcoholic cerebral degeneration,,,
52,http://www.wikidata.org/entity/Q47535995,Alcoholic ketoacidosis,"acute metabolic acidosis that typically occurs in people who chronically abuse alcohol and have a recent history of binge drinking, little or no food intake and persistent vomiting",,
53,http://www.wikidata.org/entity/Q42593774,Aldred syndrome,medical condition,,
54,http://www.wikidata.org/entity/Q16002436,Alektorophobia,,,
55,http://www.wikidata.org/entity/Q4731121,Allan-Herndon-Dudley syndrome,congenital disorder of nervous system,,
56,http://www.wikidata.org/entity/Q4734606,Alopecia contractures dwarfism mental retardation,medical condition,,
57,http://www.wikidata.org/entity/Q2613277,Alpha-thalassemia mental retardation syndrome,alpha thalassemia that has material basis in mutation in the ATRX gene on Xq21,,
58,http://www.wikidata.org/entity/Q55782425,Alport syndrome-intellectual disability-midface hypoplasia-elliptocytosis syndrome,human disease,,
59,http://www.wikidata.org/entity/Q64425127,Alveolar hypoventilation syndrome,,,
60,http://www.wikidata.org/entity/Q53660493,Alwadei syndrome,autosomal recessive non-syndromic intellectual disability that has material basis in an autosomal recessive mutation of the RUSC2 gene on chromosome 9p13,,
61,http://www.wikidata.org/entity/Q11081,Alzheimer's disease,"progressive, neurodegenerative disease characterized by memory loss",,
62,http://www.wikidata.org/entity/Q27997150,Amafufunyana,culture-bound syndrome,,
63,http://www.wikidata.org/entity/Q55783637,Amish infantile epilepsy syndrome,human disease,,
64,http://www.wikidata.org/entity/Q4749552,Amylophagia,compulsion to consume purified starch (such as cornstarch) in excess,,
65,http://www.wikidata.org/entity/Q535364,Angelman syndrome,Genetic condition in humans,,
66,http://www.wikidata.org/entity/Q4763844,Angor animi,symptom defined as a patient's perception that they are dying,,
67,http://www.wikidata.org/entity/Q489499,Animal hoarding,keeping more domestic pets than can be cared for,,
68,http://www.wikidata.org/entity/Q2852337,Anosodiaphoria,medical condition,,
69,http://www.wikidata.org/entity/Q15520396,Antenatal depression,medical condition,,
70,http://www.wikidata.org/entity/Q19903316,Antidepressant treatment tachyphylaxis,when antidepressants become ineffective,,
71,http://www.wikidata.org/entity/Q587795,Anton syndrome,,,
72,http://www.wikidata.org/entity/Q15783653,Anton–Babinski syndrome,Rare symptom of brain damage where sufferers deny being blind,,
73,http://www.wikidata.org/entity/Q104870117,Apeirophobia,fear of infinity,,
74,http://www.wikidata.org/entity/Q2291948,Apotemnophilia,,,
75,http://www.wikidata.org/entity/Q1428145,Apraxia of speech,speech sound disorder,,
76,http://www.wikidata.org/entity/Q622138,Aprosodia,,,
77,http://www.wikidata.org/entity/Q18553460,Armfield syndrome,Human disease,,
78,http://www.wikidata.org/entity/Q11852863,Arts syndrome,"Lethal ataxia with deafness and optic atrophy (also known as Arts syndrome) is characterized by intellectual deficit, early-onset hypotonia, ataxia, delayed motor development, hearing impairment and loss of vision due to optic atrophy",,
79,http://www.wikidata.org/entity/Q734123,Asomatognosia,medical condition,,
80,http://www.wikidata.org/entity/Q161790,Asperger syndrome,neurodevelopmental disorder affecting social interaction,"['http://www.wikidata.org/entity/Q409236', 'http://www.wikidata.org/entity/Q422244', 'http://www.wikidata.org/entity/Q201872', 'http://www.wikidata.org/entity/Q412443', 'http://www.wikidata.org/entity/Q407617', 'http://www.wikidata.org/entity/Q422112', 'http://www.wikidata.org/entity/Q411188']","['fluvoxamine', 'fluoxetine', 'olanzapine', 'risperidone', 'sertraline', 'methylphenidate', 'aripiprazole']"
81,http://www.wikidata.org/entity/Q4812457,At risk mental state,,,
82,http://www.wikidata.org/entity/Q4812800,Ataque de nervios,psychological syndrome,,
83,http://www.wikidata.org/entity/Q50364510,Ataxia-oculomotor apraxia type 4,AOA4,,
84,http://www.wikidata.org/entity/Q55332137,Ataxia-telangiectasia-like disorder 1,human disease,,
85,http://www.wikidata.org/entity/Q2869281,Athymhormia,"Disorder of motivation, curiosity and affect",,
86,http://www.wikidata.org/entity/Q49988980,Atkin-Flaitz syndrome,"X-linked intellectual disability, Atkin type",,
87,http://www.wikidata.org/entity/Q1993146,Attention deficit hyperactivity disorder predominantly inattentive,neurodevelopmental condition,,
88,http://www.wikidata.org/entity/Q4818692,Attraction to disability,,,
89,http://www.wikidata.org/entity/Q3961667,Austrian syndrome,medical condition,,
90,http://www.wikidata.org/entity/Q105925693,Autosomal recessive mental retardation-42,,,
91,http://www.wikidata.org/entity/Q55782923,Ayme-Gripp syndrome,human disease,,
92,http://www.wikidata.org/entity/Q190845,BDSM,erotic practices involving domination and sadomasochism,,
93,http://www.wikidata.org/entity/Q48990236,Bainbridge Ropers Syndrome,Human genetic disorder,,
94,http://www.wikidata.org/entity/Q12384040,Ballstretching,practice of achieving scrotal dilation to achieve elongation,,
95,http://www.wikidata.org/entity/Q474254,Bannayan-Riley-Ruvalcaba syndrome,"a rare overgrowth syndrome and hamartomatous disorder with occurrence of multiple subcutaneous lipomas, macrocephaly and hemangiomas.",,
96,http://www.wikidata.org/entity/Q4859683,Barbie syndrome,desire to have a physical appearance and lifestyle representative of the Barbie doll,,
97,http://www.wikidata.org/entity/Q48973749,Barré–Liéou syndrome,medical condition,,
98,http://www.wikidata.org/entity/Q102296627,Basilicata-Akhtar syndrome,human disease,,
99,http://www.wikidata.org/entity/Q6898244,Bathophobia,fear of depths,,
100,http://www.wikidata.org/entity/Q51796815,Bd syndrome,disease,,
101,http://www.wikidata.org/entity/Q4876973,Beat deafness,Form of amusia characterized by a person's inability to distinguish musical rhythm,,
102,http://www.wikidata.org/entity/Q106996443,Bell's mania,disease,,
103,http://www.wikidata.org/entity/Q24977061,Benign hereditary chorea,medical condition,,
104,http://www.wikidata.org/entity/Q4889456,Benjamin syndrome,hypochromic anemia with mental deficiency and various craniofacial and other anomalies.,,
105,http://www.wikidata.org/entity/Q4890788,Benzodiazepine overdose,high doses of benzodiazepines and the side effects,,
106,http://www.wikidata.org/entity/Q16944551,Biemond syndrome,"Brachydactyly-nystagmus-cerebellar ataxia syndrome is characterized by brachydactyly, nystagmus and cerebellar ataxia. Intellectual deficit and strabismus are also reported in some patients.",,
107,http://www.wikidata.org/entity/Q51826234,Biemond syndrome type 2,disease,,
108,http://www.wikidata.org/entity/Q1399293,Binswanger's disease,form of small vessel vascular dementia caused by damage to the white brain matter,,
109,http://www.wikidata.org/entity/Q3540858,Bipolar disorder not otherwise specified,medical condition,,
110,http://www.wikidata.org/entity/Q18553391,Birk-Barel syndrome,Human disease,,
111,http://www.wikidata.org/entity/Q3983411,BlackBerry thumb,,,
112,http://www.wikidata.org/entity/Q4931259,Boanthropy,psychological disorder in which a human believes themself to be a bovine,,
113,http://www.wikidata.org/entity/Q4936774,Body-focused repetitive behavior disorders,Mental and behaviour disorders including skin picking and hair pulling,,
114,http://www.wikidata.org/entity/Q1986152,Bogart–Bacall syndrome,voice disorder caused by abuse or overuse of the vocal cords,,
115,http://www.wikidata.org/entity/Q4938225,Bohring-Opitz,Bohring-Opitz Syndrome is an extremely rare genetic syndrome.This syndrome is diagnosed by genetic testing and is a mutation in the ASXL1 gene.,,
116,http://www.wikidata.org/entity/Q55781860,Bonnemann-Meinecke-Reich syndrome,,,
117,http://www.wikidata.org/entity/Q1019940,Borjeson-Forssman-Lehmann syndrome,genetic condition in humans,,
118,http://www.wikidata.org/entity/Q894689,Botellón,congregate in public areas to socialize while drinking alcohol,,
119,http://www.wikidata.org/entity/Q18553398,Bowen-Conradi syndrome,Human disease,,
120,http://www.wikidata.org/entity/Q4955819,Brain fag,A set of symptoms relating to excessive academic or intellectual pressure in the young,,
121,http://www.wikidata.org/entity/Q917616,Briquet's syndrome,syndrome,,
122,http://www.wikidata.org/entity/Q28065633,Brooks-Wisniewski-Brown syndrome,"syndromic X-linked intellectual disability characterized by intellectual disability, distinct facial appearance and growth retardation that has material basis in variation on the X chromosome",,
123,http://www.wikidata.org/entity/Q4979092,Brunner Syndrome,"amino acid metabolic disorder characterized by recessive X-linked inhetiance, impaired monoamine metabolism, impulsive aggressiveness and mild mental retardation that has material basis in mutation in the MAOA gene on chromosome location Xp11",,
124,http://www.wikidata.org/entity/Q4979461,Bruns apraxia,gait apraxia found in patients with bilateral frontal lobe disorders,,
125,http://www.wikidata.org/entity/Q174651,Bálint's syndrome,uncommon and incompletely understood triad of severe neuropsychological impairments,,
126,http://www.wikidata.org/entity/Q1022312,C syndrome,"C syndrome is a rare multiple congenital anomaly/intellectual disability syndrome characterized by trigonocephaly and metopic suture synostosis, dysmorphic facial features, short neck, skeletal anomalies, and variable intellectual disability",,
127,http://www.wikidata.org/entity/Q55346076,CAMOS syndrome,,,
128,http://www.wikidata.org/entity/Q5064098,CEDNIK syndrome,human disease,,
129,http://www.wikidata.org/entity/Q8075299,CHIME syndrome,"CHIME syndrome is a rare ectodermal dysplasia syndrome characterized by ocular colobomas, cardiac defects, ichthyosiform dermatosis, intellectual disability, conductive hearing loss and epilepsy",,
130,http://www.wikidata.org/entity/Q3043481,CHMP2B-related frontotemporal dementia,human disease,,
131,http://www.wikidata.org/entity/Q55782485,CK syndrome,human disease,,
132,http://www.wikidata.org/entity/Q25326623,COACH Syndrome,"a rare autosomal recessive disorder characterised by Cerebellar vermis hypoplasia, Oligophrenia (developmental delay/mental retardation), Ataxia, Coloboma, and Hepatic fibrosis.",,
133,http://www.wikidata.org/entity/Q1150040,Caesarean madness,alleged psychiatric disorder of roman emperors,,
134,http://www.wikidata.org/entity/Q19596215,Caffeine-induced anxiety disorder,,,
135,http://www.wikidata.org/entity/Q54304132,Camel spongiform encephalopathy,medical condition,,
136,http://www.wikidata.org/entity/Q9390215,Camera-Marugo-Cohen syndrome,human disease,,
137,http://www.wikidata.org/entity/Q573557,Candaulism,Paraphilia,,
138,http://www.wikidata.org/entity/Q5032577,Cannabinoid hyperemesis syndrome,Nausea and vomiting resulting from cannabis use,,
139,http://www.wikidata.org/entity/Q65065956,Cannabis and sex,,,
140,http://www.wikidata.org/entity/Q55789834,Cantu Sanchez-Corona Fragoso syndrome,human disease,,
141,http://www.wikidata.org/entity/Q838018,Capgras syndrome,psychiatric disorder (syndrome) in which a person holds a delusion that a family member has been replaced by an identical impostor,,
142,http://www.wikidata.org/entity/Q2938099,Cardiophobia,phobia caused by fear of heart diseases,,
143,http://www.wikidata.org/entity/Q56014368,Carpenter-Waziri syndrome,,,
144,http://www.wikidata.org/entity/Q55789841,Cartwright Nelson Fryns syndrome,human disease,,
145,http://www.wikidata.org/entity/Q5051865,Catel–Manzke syndrome,"Catel-Manzke syndrome is a rare bone disease characterized by bilateral hyperphalangy and clinodactyly of the index finger typically in association with Pierre Robin sequence (see this term) comprising micrognathia, cleft palate and glossoptosis",,
146,http://www.wikidata.org/entity/Q28024512,Cayman type cerebellar ataxia,human disease,,
147,http://www.wikidata.org/entity/Q55783421,Cerebrooculonasal syndrome,"Cerebro-oculo-nasal syndrome is a multisystem malformation syndrome that has been reported in about 10 patients. The clinical features include bilateral anophthalmia, abnormal nares, central nervous system anomalies, and neurodevelopmental delay.",,
148,http://www.wikidata.org/entity/Q16545548,Cervicogenic headache,,,
149,http://www.wikidata.org/entity/Q3281260,Charcot-Marie-Tooth disease type X,Charcot-Marie-Tooth disease that has material basis in X-linked inheritance of a point mutation in the connexin-32 gene,,
150,http://www.wikidata.org/entity/Q1063097,Charcot–Wilbrand syndrome,,,
151,http://www.wikidata.org/entity/Q2868786,Charlevoix-Saguenay spastic ataxia,"autosomal recessive spastic ataxia of Charlevoix-Saguenay (ARSACS) is a neurodegenerative disorder characterised by early-onset cerebellar ataxia with spasticity, a pyramidal syndrome and peripheral neuropathy",,
152,http://www.wikidata.org/entity/Q3997973,Childbirth-related posttraumatic stress disorder,Psychiatric disorder associated with childbirth,,
153,http://www.wikidata.org/entity/Q3693493,Choreoathetosis,involuntary movements in a combination of chorea (irregular migrating contractions) and athetosis (twisting and writhing),,
154,http://www.wikidata.org/entity/Q28065629,Christianson syndrome,"rare form of syndromic intellectual deficit characterized by microcephaly, severe developmental delay or regression, hypotonia, abnormal movements, and early-onset seizures",,
155,http://www.wikidata.org/entity/Q56014366,Chudley-Lowry-Hoar syndrome,Chudley-Lowry syndrome is an X-linked mental retardation (XLMR) syndrome belonging to the group of conditions characterised by the association of intellectual deficit with hypotonic facies (Mental retardation-hypotonic facies; see this term),,
156,http://www.wikidata.org/entity/Q47483025,Clark-Baraitser syndrome,disease,,
157,http://www.wikidata.org/entity/Q1104126,Classic autism,"A former developmental disorder, since DSM-V replaced by Autism Spectrum Condition, type 2-3, with, or without, intellectual development disorder",,
158,http://www.wikidata.org/entity/Q66417369,Climate psychosis,,,
159,http://www.wikidata.org/entity/Q5135315,Closed-eye hallucination,Class of hallucination,,
160,http://www.wikidata.org/entity/Q5136677,Cluster B personality disorders,categorization of personality disorders,,
161,http://www.wikidata.org/entity/Q1106881,Coffin-Lowry syndrome,genetic disorder that is X-linked dominant,,
162,http://www.wikidata.org/entity/Q2348105,Coffin-Siris syndrome,"genetic disease that is characterized by underdevelopment of the tips of fingers or toes, underdevelopment or abscense of finger or toe nails and developmental disability",,
163,http://www.wikidata.org/entity/Q1107087,Cohen syndrome,"Cohen syndrome (CS) is a rare genetic developmental disorder characterized by microcephaly, characteristic facial features, hypotonia, non-progressive intellectual deficit, myopia and retinal dystrophy, neutropenia and truncal obesity",,
164,http://www.wikidata.org/entity/Q5151412,Comedown,Feelings after a drug's effects are fading,,
165,http://www.wikidata.org/entity/Q18348488,Communication deviance,,,
166,http://www.wikidata.org/entity/Q5156657,Complications of traumatic brain injury,Possible consequences of a brain injury,,
167,http://www.wikidata.org/entity/Q2941671,"Congenital cataracts, facial dysmorphism, and neuropathy",disease,,
168,http://www.wikidata.org/entity/Q3620998,Constructional apraxia,,,
169,http://www.wikidata.org/entity/Q2411489,Coprographia,Involuntarily writing or drawing obscenities,,
170,http://www.wikidata.org/entity/Q55346059,Corticobasal syndrome,"Corticobasal syndrome (CBS) is a rare neurodegenerative disease characterized by multifaceted motor system dysfunctions and cognitive defects such as asymmetric rigidity, bradykinesia, limb apraxia, and visuospatial dysfunction",,
171,http://www.wikidata.org/entity/Q1136492,Costello syndrome,"syndrome characterized by craniofacial dysmorphology, cardiac defects, mild intellectual disability, and high birth weight followed by a failure to thrive and developmental delays",,
172,http://www.wikidata.org/entity/Q1069110,Cotard delusion,mental disease,,
173,http://www.wikidata.org/entity/Q5176954,Counterdependency,Refusal of attachment,,
174,http://www.wikidata.org/entity/Q852094,Couvade syndrome,proposed medical condition,,
175,http://www.wikidata.org/entity/Q97674167,Covidiot,"word that blends ""COVID"" and ""idiot""",,
176,http://www.wikidata.org/entity/Q19277644,Crane-Heise syndrome,"Crane-Heise syndrome is a very rare syndrome characterized by poorly mineralized calvarium, facial dysmorphism, vertebral abnormalities and absent clavicles",,
177,http://www.wikidata.org/entity/Q51122293,Craniotelencephalic dysplasia,disease,,
178,http://www.wikidata.org/entity/Q55783480,Cree mental retardation syndrome,human disease,,
179,http://www.wikidata.org/entity/Q49989,Creutzfeldt-Jakob disease,degenerative neurological disorder,,
180,http://www.wikidata.org/entity/Q5187584,Crome syndrome,medical condition,,
181,http://www.wikidata.org/entity/Q28683899,Cult Indoctrinee Syndrome,,,
182,http://www.wikidata.org/entity/Q55781501,Czeizel-Losonci syndrome,,,
183,http://www.wikidata.org/entity/Q2003840,DES daughter,,,
184,http://www.wikidata.org/entity/Q1154764,DOOR syndrome,human disease,,
185,http://www.wikidata.org/entity/Q55786768,DYRK1A-related intellectual disability syndrome due to 21q22.13q22.2 microdeletion,human disease,,
186,http://www.wikidata.org/entity/Q2140711,Dancing mania,Medieval social phenomena,,
187,http://www.wikidata.org/entity/Q5220984,Danon disease,Human disease,,
188,http://www.wikidata.org/entity/Q55790129,Davis Lafer syndrome,human disease,,
189,http://www.wikidata.org/entity/Q3843801,DeSanctis–Cacchione syndrome,"A rare autosomal recessive inherited syndrome. It is characterized by xeroderma pigmentosum, mental retardation, dwarfism, hypogonadism, and neurologic abnormalities.",,
190,http://www.wikidata.org/entity/Q55609245,Death-grip syndrome,sexual dysfunction caused by aggressive masturbation,,
191,http://www.wikidata.org/entity/Q5250381,Deep dyslexia,Neurological disorder,,
192,http://www.wikidata.org/entity/Q4166158,"Deficits in attention, motor control and perception",proposed psychiatric diagnosis,,
193,http://www.wikidata.org/entity/Q5254901,Delusional companion syndrome,,,
194,http://www.wikidata.org/entity/Q2182344,"Delusional disorder, somatic type",,,
195,http://www.wikidata.org/entity/Q5254902,Delusional intuition,,,
196,http://www.wikidata.org/entity/Q56014575,Dennis-Fairhurst-Moore syndrome,"severe form of Hallermann-Streiff syndrome, observed in one family",,
197,http://www.wikidata.org/entity/Q5260908,Depression in childhood and adolescence,Pediatric depressive disorders,,
198,http://www.wikidata.org/entity/Q5260912,Depression of Alzheimer disease,,,
199,http://www.wikidata.org/entity/Q3540880,Depressive Disorder Not Otherwise Specified,,,
200,http://www.wikidata.org/entity/Q388545,Dermatophagia,compulsive disorder of extreme nail or skin biting,,
201,http://www.wikidata.org/entity/Q5262716,Dermatothlasia,,,
202,http://www.wikidata.org/entity/Q5266803,Developmental dysfluency,Normal disfluency of early childhood,,
203,http://www.wikidata.org/entity/Q1561430,Developmental verbal dyspraxia,neurodevelopmental condition,,
204,http://www.wikidata.org/entity/Q55783728,Devriendt syndrome,human disease,,
205,http://www.wikidata.org/entity/Q13407052,Digital voyeurism,,,
206,http://www.wikidata.org/entity/Q1226826,Diogenes syndrome,behavioral disorder notably characterized by extreme self-neglect and compulsive hoarding,,
207,http://www.wikidata.org/entity/Q1227259,Diplophonia,medical phenomenon,,
208,http://www.wikidata.org/entity/Q1290901,Dippoldism,,,
209,http://www.wikidata.org/entity/Q5282244,Disinhibition,Lack of social and/or behavioral restraint,,
210,http://www.wikidata.org/entity/Q18459180,Disruptive mood dysregulation disorder,Mental disorder in children and adolescents,,
211,http://www.wikidata.org/entity/Q10276697,Dissociative stupor,,,
212,http://www.wikidata.org/entity/Q3092721,Doll fetish,sexual fetish involving dolls,,
213,http://www.wikidata.org/entity/Q5292874,Don Juanism,non-clinical term for male desire to have many different female sexual partners,,
214,http://www.wikidata.org/entity/Q19001108,"Drug dependence complicating pregnancy, childbirth, or the puerperium",Human disease,,
215,http://www.wikidata.org/entity/Q5308804,Drug-induced amnesia,Loss of memory caused by psychoactive substances,,
216,http://www.wikidata.org/entity/Q4167713,Drunkorexia,term for a food and drink disorder,,
217,http://www.wikidata.org/entity/Q2914812,Dual diagnosis,condition of suffering from a mental illness and a comorbid substance abuse problem,,
218,http://www.wikidata.org/entity/Q574741,Dubowitz syndrome,genetic disorder,,
219,http://www.wikidata.org/entity/Q2336418,Dysaethesia Aethiopica,alleged mental illness linked to scientific racism,,
220,http://www.wikidata.org/entity/Q5319401,Dysexecutive syndrome,condition usually resulting from brain damage,,
221,http://www.wikidata.org/entity/Q97366766,Dysorgasmia,pain caused by orgasm,,
222,http://www.wikidata.org/entity/Q5319556,Dysprosody,"neurological condition, developmental or acquired",,
223,http://www.wikidata.org/entity/Q5322531,EAST syndrome,"SeSAME syndrome is characterized by seizures, sensorineural deafness, ataxia, intellectual deficit, and electrolyte imbalance (hypokalemia, metabolic alkalosis, and hypomagnesemia)",,
224,http://www.wikidata.org/entity/Q492054,Eating disorder not otherwise specified,disorder,,
225,http://www.wikidata.org/entity/Q98212994,Ecophobia,the feeling of powerlessness to prevent cataclysmic environmental change,,
226,http://www.wikidata.org/entity/Q69906769,Elimination Disorders,Excretory-related psychiatric disorders usually diagnosed in infancy or childhood.,,
227,http://www.wikidata.org/entity/Q16678468,Elpenor’s Syndrome,,,
228,http://www.wikidata.org/entity/Q3144201,Excessive daytime sleepiness,Symptom characterized by persistent sleepiness during daytime,,
229,http://www.wikidata.org/entity/Q22933529,Excoriated acne,medical condition,,
230,http://www.wikidata.org/entity/Q5420055,Exercise bulimia,,,
231,http://www.wikidata.org/entity/Q5420726,Exotic ungulate encephalopathy,prion disease,,
232,http://www.wikidata.org/entity/Q55788088,FBLN1-related developmental delay-central nervous system anomaly-syndactyly syndrome,human disease,,
233,http://www.wikidata.org/entity/Q112939337,FBXW7 neurodevelopmental syndrome,medical condition,,
234,http://www.wikidata.org/entity/Q55790216,FRAXD syndrome,human disease,,
235,http://www.wikidata.org/entity/Q21051307,FRAXE intellectual disability,FRAXE is a form of nonsyndromic X-linked mental retardation (NS-XLMR) characterized by mild intellectual deficit. FRAXE is the most common form of NS-XLMR.,,
236,http://www.wikidata.org/entity/Q18553730,FTDALS1,An amyotrophic lateral sclerosis that has material basis in mutation in the C9ORF72 gene on chromosome 9. It is characterized by adult onset of either frontotemporal dementia and/or amyotrophic lateral sclerosis.,,
237,http://www.wikidata.org/entity/Q18553731,FTDALS2,An amyotrophic lateral sclerosis that has material basis in mutation in the CHCHD10 gene on chromosome 22. It is characterized by adult onset of either frontotemporal dementia and/or amyotrophic lateral sclerosis.,,
238,http://www.wikidata.org/entity/Q27164433,FTDALS3,amyotrophic lateral sclerosis that has material basis in mutation in the SQSTM1 gene on chromosome 5q35,,
239,http://www.wikidata.org/entity/Q27164434,FTDALS4,amyotrophic lateral sclerosis that has material basis in mutation in the TBK1 gene on chromosome 12q14,,
240,http://www.wikidata.org/entity/Q4346963,Factitious dermatitis,self-inflicted injuries designed to mimic dermatitis,,
241,http://www.wikidata.org/entity/Q5428701,Factitious diarrhea,infectious disease,,
242,http://www.wikidata.org/entity/Q195961,False memory syndrome,syndrome,,
243,http://www.wikidata.org/entity/Q5437105,Fasting girl,Claim of special powers,,
244,http://www.wikidata.org/entity/Q65211038,Fear of Being Offline,,,
245,http://www.wikidata.org/entity/Q1539031,Fear of God,fear or respect for the Deity,,
246,http://www.wikidata.org/entity/Q16753510,Fear of missing out,"type of social anxiety that one is either not in the know or missing out on information, events, experiences, or life decisions that could make one's life better",,
247,http://www.wikidata.org/entity/Q5441238,Feeding disorder,"eating and feeding disorders in babies and infants, academic review.",,
248,http://www.wikidata.org/entity/Q55790235,Feingold Trainer syndrome,human disease,,
249,http://www.wikidata.org/entity/Q5445904,Fetal hydantoin syndrome,medical condition,,
250,http://www.wikidata.org/entity/Q5445919,Fetal trimethadione syndrome,medical condition,,
251,http://www.wikidata.org/entity/Q3961674,Filippi syndrome,,,
