item,itemLabel,itemDescription,drugs,drugsLabel
http://www.wikidata.org/entity/Q131749,anorexia nervosa,type of eating disorder,http://www.wikidata.org/entity/Q7050955,norethandrolone
http://www.wikidata.org/entity/Q131749,anorexia nervosa,type of eating disorder,http://www.wikidata.org/entity/Q190067,tetrahydrocannabinol
http://www.wikidata.org/entity/Q118418,antisocial personality disorder,Personality disorder that involves a pervasive pattern of disregard for other people,http://www.wikidata.org/entity/Q208144,antipsychotics
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q408588,vilazodone
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q218842,zolpidem
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q407988,clonazepam
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q422244,fluoxetine
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q210402,diazepam
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q408535,quetiapine
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q201872,olanzapine
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q898407,venlafaxine
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q412174,pregabalin
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q411932,(S)-duloxetine
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q409672,(RS)-citalopram
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q2419445,desvenlafaxine
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q834280,bupropion
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q410352,gabapentin
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q421930,mirtazapine
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q416992,lurasidone
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q412194,buspirone
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q407617,sertraline
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q410346,lamotrigine
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q3563148,vortioxetine
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q423364,propranolol
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q319877,alprazolam
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q412443,risperidone
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q417240,atomoxetine
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q408471,paroxetine
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q205517,ziprasidone
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q423757,escitalopram
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q421937,(RS)-hydroxyzine
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q411188,aripiprazole
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q251347,haloperidol
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q408265,lorazepam
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q2924764,brexpiprazole
http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath",http://www.wikidata.org/entity/Q411457,trazodone
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q422244,fluoxetine
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q418361,maprotiline
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q418850,clorazepic acid
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q5641126,halazepam
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q421930,mirtazapine
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q411932,(S)-duloxetine
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q409672,(RS)-citalopram
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q412194,buspirone
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q4926102,bromodiphenhydramine
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q412443,risperidone
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q178566,chlordiazepoxide
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q423364,propranolol
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q898407,venlafaxine
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q210402,diazepam
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q415850,amobarbital
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q201872,olanzapine
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q417204,levomepromazine
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q421937,(RS)-hydroxyzine
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q61387,nortriptyline
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q423071,midazolam
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q409236,fluvoxamine
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q408535,quetiapine
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q423757,escitalopram
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q418351,meprobamate
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q416791,cidoxepin
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q414796,temazepam
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q408265,lorazepam
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q407617,sertraline
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q407988,clonazepam
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q2149443,prazepam
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q5102983,chlormezanone
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q408471,paroxetine
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q407972,chlorpromazine
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q412299,oxazepam
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q319877,alprazolam
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q412174,pregabalin
http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations",http://www.wikidata.org/entity/Q2359690,prochlorperazine
http://www.wikidata.org/entity/Q46545345,apathy-aboulia syndrome,"psychopathological syndrome, characterised by apathy and aboulia, occurring in schizophrenia or after a brain damage",http://www.wikidata.org/entity/Q905058,mesocarb
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,range of neurodevelopmental conditions,http://www.wikidata.org/entity/Q419008,pemoline
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,range of neurodevelopmental conditions,http://www.wikidata.org/entity/Q898407,venlafaxine
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,range of neurodevelopmental conditions,http://www.wikidata.org/entity/Q1706418,dextroamphetamine
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,range of neurodevelopmental conditions,http://www.wikidata.org/entity/Q417240,atomoxetine
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,range of neurodevelopmental conditions,http://www.wikidata.org/entity/Q58396,imipramine
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,range of neurodevelopmental conditions,http://www.wikidata.org/entity/Q422112,methylphenidate
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,range of neurodevelopmental conditions,http://www.wikidata.org/entity/Q179452,DL-amphetamine
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,range of neurodevelopmental conditions,http://www.wikidata.org/entity/Q5613599,guanfacine
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,range of neurodevelopmental conditions,http://www.wikidata.org/entity/Q423288,desipramine
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,range of neurodevelopmental conditions,http://www.wikidata.org/entity/Q191924,D-methamphetamine
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,range of neurodevelopmental conditions,http://www.wikidata.org/entity/Q410441,modafinil
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,range of neurodevelopmental conditions,http://www.wikidata.org/entity/Q402633,(±)-deprenyl
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,range of neurodevelopmental conditions,http://www.wikidata.org/entity/Q1207210,dexmethylphenidate
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,range of neurodevelopmental conditions,http://www.wikidata.org/entity/Q834280,bupropion
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,range of neurodevelopmental conditions,http://www.wikidata.org/entity/Q61387,nortriptyline
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,range of neurodevelopmental conditions,http://www.wikidata.org/entity/Q412221,clonidine
http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,range of neurodevelopmental conditions,http://www.wikidata.org/entity/Q2506823,(R)-amphetamine
http://www.wikidata.org/entity/Q38404,autism,neurodevelopmental condition,http://www.wikidata.org/entity/Q412443,risperidone
http://www.wikidata.org/entity/Q38404,autism,neurodevelopmental condition,http://www.wikidata.org/entity/Q898407,venlafaxine
http://www.wikidata.org/entity/Q38404,autism,neurodevelopmental condition,http://www.wikidata.org/entity/Q418928,(RS)-fenfluramine
http://www.wikidata.org/entity/Q38404,autism,neurodevelopmental condition,http://www.wikidata.org/entity/Q408535,quetiapine
http://www.wikidata.org/entity/Q4915474,bipolar I disorder,bipolar disorder that is characterized by at least one manic or mixed episode,http://www.wikidata.org/entity/Q50824517,"(R,R)-asenapine"
http://www.wikidata.org/entity/Q4915474,bipolar I disorder,bipolar disorder that is characterized by at least one manic or mixed episode,http://www.wikidata.org/entity/Q2938837,cariprazine
http://www.wikidata.org/entity/Q4915474,bipolar I disorder,bipolar disorder that is characterized by at least one manic or mixed episode,http://www.wikidata.org/entity/Q412443,risperidone
http://www.wikidata.org/entity/Q131755,bipolar disorder,human mental illness characterized by mood changes,http://www.wikidata.org/entity/Q201872,olanzapine
http://www.wikidata.org/entity/Q131755,bipolar disorder,human mental illness characterized by mood changes,http://www.wikidata.org/entity/Q410346,lamotrigine
http://www.wikidata.org/entity/Q131755,bipolar disorder,human mental illness characterized by mood changes,http://www.wikidata.org/entity/Q412443,risperidone
http://www.wikidata.org/entity/Q131755,bipolar disorder,human mental illness characterized by mood changes,http://www.wikidata.org/entity/Q152763,lithium compounds
http://www.wikidata.org/entity/Q131755,bipolar disorder,human mental illness characterized by mood changes,http://www.wikidata.org/entity/Q240642,valproic acid
http://www.wikidata.org/entity/Q131755,bipolar disorder,human mental illness characterized by mood changes,http://www.wikidata.org/entity/Q221174,topiramate
http://www.wikidata.org/entity/Q131755,bipolar disorder,human mental illness characterized by mood changes,http://www.wikidata.org/entity/Q27278051,transclopenthixol
http://www.wikidata.org/entity/Q131755,bipolar disorder,human mental illness characterized by mood changes,http://www.wikidata.org/entity/Q410412,carbamazepin
http://www.wikidata.org/entity/Q131755,bipolar disorder,human mental illness characterized by mood changes,http://www.wikidata.org/entity/Q907219,tiagabine
http://www.wikidata.org/entity/Q131755,bipolar disorder,human mental illness characterized by mood changes,http://www.wikidata.org/entity/Q408535,quetiapine
http://www.wikidata.org/entity/Q131755,bipolar disorder,human mental illness characterized by mood changes,http://www.wikidata.org/entity/Q407988,clonazepam
http://www.wikidata.org/entity/Q131755,bipolar disorder,human mental illness characterized by mood changes,http://www.wikidata.org/entity/Q221361,clozapine
http://www.wikidata.org/entity/Q131755,bipolar disorder,human mental illness characterized by mood changes,http://www.wikidata.org/entity/Q410352,gabapentin
http://www.wikidata.org/entity/Q208166,borderline personality disorder,personality disorder characterized by variability of moods and unstable relationships,http://www.wikidata.org/entity/Q408535,quetiapine
http://www.wikidata.org/entity/Q208166,borderline personality disorder,personality disorder characterized by variability of moods and unstable relationships,http://www.wikidata.org/entity/Q898407,venlafaxine
http://www.wikidata.org/entity/Q208166,borderline personality disorder,personality disorder characterized by variability of moods and unstable relationships,http://www.wikidata.org/entity/Q410346,lamotrigine
http://www.wikidata.org/entity/Q208166,borderline personality disorder,personality disorder characterized by variability of moods and unstable relationships,http://www.wikidata.org/entity/Q411188,aripiprazole
http://www.wikidata.org/entity/Q180913,bulimia,eating disorder,http://www.wikidata.org/entity/Q418361,maprotiline
http://www.wikidata.org/entity/Q180913,bulimia,eating disorder,http://www.wikidata.org/entity/Q422244,fluoxetine
http://www.wikidata.org/entity/Q180913,bulimia,eating disorder,http://www.wikidata.org/entity/Q418928,(RS)-fenfluramine
http://www.wikidata.org/entity/Q944473,cataplexy,sudden muscle weakness,http://www.wikidata.org/entity/Q7553347,sodium oxybate
http://www.wikidata.org/entity/Q19001109,chronic depressive disorder,Human disease,http://www.wikidata.org/entity/Q423520,perphenazine
http://www.wikidata.org/entity/Q18967121,chronic schizophrenia,Human disease,http://www.wikidata.org/entity/Q3905512,piperacetazine
http://www.wikidata.org/entity/Q3743188,cocaine dependence,drug dependence that is a psychological dependency on the regular use of cocaine,http://www.wikidata.org/entity/Q418361,maprotiline
http://www.wikidata.org/entity/Q3065932,cognitive disorder,"disease of mental health that affects cognitive functions including memory processing, perception and problem solving",http://www.wikidata.org/entity/Q419559,phenibut
http://www.wikidata.org/entity/Q596474,conduct disorder,specific developmental disorder marked by a pattern of repetitive behavior wherein the rights of others or social norms are violated,http://www.wikidata.org/entity/Q412443,risperidone
http://www.wikidata.org/entity/Q596474,conduct disorder,specific developmental disorder marked by a pattern of repetitive behavior wherein the rights of others or social norms are violated,http://www.wikidata.org/entity/Q152763,lithium compounds
