item,itemLabel,itemDescription
http://www.wikidata.org/entity/Q55788075,9q31.1q31.3 microdeletion syndrome,human disease
http://www.wikidata.org/entity/Q50349602,ABri amyloidosis,human disease
http://www.wikidata.org/entity/Q50349603,ADan amyloidosis,"A cerebral amyloid angiopathy characterized by ataxia, intention tremor, psychosis and dementia that has material basis in an autosomal dominant mutation of ITM2B on chromosome 13q14.2."
http://www.wikidata.org/entity/Q55783600,AICA-ribosiduria,
http://www.wikidata.org/entity/Q3435504,AIDS dementia complex,Human disease
http://www.wikidata.org/entity/Q293533,AIDS phobia,specific anxiety disorder: excessively strong fear of being infected with HIV or AIDS to be sick
http://www.wikidata.org/entity/Q55783858,ANE syndrome,human disease
http://www.wikidata.org/entity/Q55788125,ARX-related encephalopathy-brain malformation spectrum,human disease
http://www.wikidata.org/entity/Q3508561,ATR-16 syndrome,"alpha thalassemia that has material basis in a deletion in chromosome 16p that involves the alpha-1 (HBA1) and alpha-2 (HBA2) genes, among others"
http://www.wikidata.org/entity/Q55786703,ATR-X-related syndrome,human disease
http://www.wikidata.org/entity/Q303123,Aarskog syndrome,"monogenic disease affects a person's height, muscles, skeleton, genitals, and appearance of the face"
http://www.wikidata.org/entity/Q4665116,Abdominal aura,
http://www.wikidata.org/entity/Q4060284,Accentuation of personality traits,
http://www.wikidata.org/entity/Q104844018,Achiria,
http://www.wikidata.org/entity/Q10355293,Acute toxic psychosis,
http://www.wikidata.org/entity/Q90249065,Adele syndrome,
http://www.wikidata.org/entity/Q357522,Adipsia,Clinically significant lack of expression of thirst
http://www.wikidata.org/entity/Q17992586,Adolescent paranoia,
http://www.wikidata.org/entity/Q1812920,Adult attention deficit hyperactivity disorder,the neurobiological condition of attention deficit hyperactivity disorder (ADHD) in adults
http://www.wikidata.org/entity/Q4693581,Agoraphobia Without History of Panic Disorder,
http://www.wikidata.org/entity/Q403463,Aicardi syndrome,"syndrome that is characterized by absence or underdeveloped tissue connecting the left and right halves of the brain, infantile spasms and chorioretinal lacunae, which are defects in the light-sensitive tissue at the back of the eye"
http://www.wikidata.org/entity/Q4713249,Alcohol and breast cancer,
http://www.wikidata.org/entity/Q4713250,Alcohol and cardiovascular disease,Effects of alcohol consumption on cardiovascular health
http://www.wikidata.org/entity/Q4713257,Alcohol and weight,
http://www.wikidata.org/entity/Q4713264,Alcohol dementia,medical condition
http://www.wikidata.org/entity/Q28135156,Alcohol intolerance,medical condition
http://www.wikidata.org/entity/Q16002418,Alcohol myopia,theory about alcohol's effect on behavior
http://www.wikidata.org/entity/Q4713313,Alcohol use and sleep,Human disease
http://www.wikidata.org/entity/Q22236199,Alcohol-induced respiratory reactions,response to the consumption of alcohol
http://www.wikidata.org/entity/Q9186667,Alcoholic cerebral degeneration,
http://www.wikidata.org/entity/Q47535995,Alcoholic ketoacidosis,"acute metabolic acidosis that typically occurs in people who chronically abuse alcohol and have a recent history of binge drinking, little or no food intake and persistent vomiting"
http://www.wikidata.org/entity/Q42593774,Aldred syndrome,medical condition
http://www.wikidata.org/entity/Q16002436,Alektorophobia,
http://www.wikidata.org/entity/Q4731121,Allan-Herndon-Dudley syndrome,congenital disorder of nervous system
http://www.wikidata.org/entity/Q4734606,Alopecia contractures dwarfism mental retardation,medical condition
http://www.wikidata.org/entity/Q2613277,Alpha-thalassemia mental retardation syndrome,alpha thalassemia that has material basis in mutation in the ATRX gene on Xq21
http://www.wikidata.org/entity/Q55782425,Alport syndrome-intellectual disability-midface hypoplasia-elliptocytosis syndrome,human disease
http://www.wikidata.org/entity/Q64425127,Alveolar hypoventilation syndrome,
http://www.wikidata.org/entity/Q53660493,Alwadei syndrome,autosomal recessive non-syndromic intellectual disability that has material basis in an autosomal recessive mutation of the RUSC2 gene on chromosome 9p13
http://www.wikidata.org/entity/Q11081,Alzheimer's disease,"progressive, neurodegenerative disease characterized by memory loss"
http://www.wikidata.org/entity/Q27997150,Amafufunyana,culture-bound syndrome
http://www.wikidata.org/entity/Q55783637,Amish infantile epilepsy syndrome,human disease
http://www.wikidata.org/entity/Q4749552,Amylophagia,compulsion to consume purified starch (such as cornstarch) in excess
http://www.wikidata.org/entity/Q535364,Angelman syndrome,Genetic condition in humans
http://www.wikidata.org/entity/Q4763844,Angor animi,symptom defined as a patient's perception that they are dying
http://www.wikidata.org/entity/Q489499,Animal hoarding,keeping more domestic pets than can be cared for
http://www.wikidata.org/entity/Q2852337,Anosodiaphoria,medical condition
http://www.wikidata.org/entity/Q15520396,Antenatal depression,medical condition
http://www.wikidata.org/entity/Q19903316,Antidepressant treatment tachyphylaxis,when antidepressants become ineffective
http://www.wikidata.org/entity/Q587795,Anton syndrome,
http://www.wikidata.org/entity/Q15783653,Anton–Babinski syndrome,Rare symptom of brain damage where sufferers deny being blind
http://www.wikidata.org/entity/Q104870117,Apeirophobia,fear of infinity
http://www.wikidata.org/entity/Q2291948,Apotemnophilia,
http://www.wikidata.org/entity/Q1428145,Apraxia of speech,speech sound disorder
http://www.wikidata.org/entity/Q622138,Aprosodia,
http://www.wikidata.org/entity/Q18553460,Armfield syndrome,Human disease
http://www.wikidata.org/entity/Q11852863,Arts syndrome,"Lethal ataxia with deafness and optic atrophy (also known as Arts syndrome) is characterized by intellectual deficit, early-onset hypotonia, ataxia, delayed motor development, hearing impairment and loss of vision due to optic atrophy"
http://www.wikidata.org/entity/Q734123,Asomatognosia,medical condition
http://www.wikidata.org/entity/Q161790,Asperger syndrome,neurodevelopmental disorder affecting social interaction
http://www.wikidata.org/entity/Q4812457,At risk mental state,
http://www.wikidata.org/entity/Q4812800,Ataque de nervios,psychological syndrome
http://www.wikidata.org/entity/Q50364510,Ataxia-oculomotor apraxia type 4,AOA4
http://www.wikidata.org/entity/Q55332137,Ataxia-telangiectasia-like disorder 1,human disease
http://www.wikidata.org/entity/Q2869281,Athymhormia,"Disorder of motivation, curiosity and affect"
http://www.wikidata.org/entity/Q49988980,Atkin-Flaitz syndrome,"X-linked intellectual disability, Atkin type"
http://www.wikidata.org/entity/Q1993146,Attention deficit hyperactivity disorder predominantly inattentive,neurodevelopmental condition
http://www.wikidata.org/entity/Q4818692,Attraction to disability,
http://www.wikidata.org/entity/Q3961667,Austrian syndrome,medical condition
http://www.wikidata.org/entity/Q105925693,Autosomal recessive mental retardation-42,
http://www.wikidata.org/entity/Q55782923,Ayme-Gripp syndrome,human disease
http://www.wikidata.org/entity/Q190845,BDSM,erotic practices involving domination and sadomasochism
http://www.wikidata.org/entity/Q48990236,Bainbridge Ropers Syndrome,Human genetic disorder
http://www.wikidata.org/entity/Q12384040,Ballstretching,practice of achieving scrotal dilation to achieve elongation
http://www.wikidata.org/entity/Q474254,Bannayan-Riley-Ruvalcaba syndrome,"a rare overgrowth syndrome and hamartomatous disorder with occurrence of multiple subcutaneous lipomas, macrocephaly and hemangiomas."
http://www.wikidata.org/entity/Q4859683,Barbie syndrome,desire to have a physical appearance and lifestyle representative of the Barbie doll
http://www.wikidata.org/entity/Q48973749,Barré–Liéou syndrome,medical condition
http://www.wikidata.org/entity/Q102296627,Basilicata-Akhtar syndrome,human disease
http://www.wikidata.org/entity/Q6898244,Bathophobia,fear of depths
http://www.wikidata.org/entity/Q51796815,Bd syndrome,disease
http://www.wikidata.org/entity/Q4876973,Beat deafness,Form of amusia characterized by a person's inability to distinguish musical rhythm
http://www.wikidata.org/entity/Q106996443,Bell's mania,disease
http://www.wikidata.org/entity/Q24977061,Benign hereditary chorea,medical condition
http://www.wikidata.org/entity/Q4889456,Benjamin syndrome,hypochromic anemia with mental deficiency and various craniofacial and other anomalies.
http://www.wikidata.org/entity/Q4890788,Benzodiazepine overdose,high doses of benzodiazepines and the side effects
http://www.wikidata.org/entity/Q16944551,Biemond syndrome,"Brachydactyly-nystagmus-cerebellar ataxia syndrome is characterized by brachydactyly, nystagmus and cerebellar ataxia. Intellectual deficit and strabismus are also reported in some patients."
http://www.wikidata.org/entity/Q51826234,Biemond syndrome type 2,disease
http://www.wikidata.org/entity/Q1399293,Binswanger's disease,form of small vessel vascular dementia caused by damage to the white brain matter
http://www.wikidata.org/entity/Q3540858,Bipolar disorder not otherwise specified,medical condition
http://www.wikidata.org/entity/Q18553391,Birk-Barel syndrome,Human disease
http://www.wikidata.org/entity/Q3983411,BlackBerry thumb,
http://www.wikidata.org/entity/Q4931259,Boanthropy,psychological disorder in which a human believes themself to be a bovine
http://www.wikidata.org/entity/Q4936774,Body-focused repetitive behavior disorders,Mental and behaviour disorders including skin picking and hair pulling
http://www.wikidata.org/entity/Q1986152,Bogart–Bacall syndrome,voice disorder caused by abuse or overuse of the vocal cords
http://www.wikidata.org/entity/Q4938225,Bohring-Opitz,Bohring-Opitz Syndrome is an extremely rare genetic syndrome.This syndrome is diagnosed by genetic testing and is a mutation in the ASXL1 gene.
http://www.wikidata.org/entity/Q55781860,Bonnemann-Meinecke-Reich syndrome,
http://www.wikidata.org/entity/Q1019940,Borjeson-Forssman-Lehmann syndrome,genetic condition in humans
http://www.wikidata.org/entity/Q894689,Botellón,congregate in public areas to socialize while drinking alcohol
http://www.wikidata.org/entity/Q18553398,Bowen-Conradi syndrome,Human disease
http://www.wikidata.org/entity/Q4955819,Brain fag,A set of symptoms relating to excessive academic or intellectual pressure in the young
http://www.wikidata.org/entity/Q917616,Briquet's syndrome,syndrome
http://www.wikidata.org/entity/Q28065633,Brooks-Wisniewski-Brown syndrome,"syndromic X-linked intellectual disability characterized by intellectual disability, distinct facial appearance and growth retardation that has material basis in variation on the X chromosome"
http://www.wikidata.org/entity/Q4979092,Brunner Syndrome,"amino acid metabolic disorder characterized by recessive X-linked inhetiance, impaired monoamine metabolism, impulsive aggressiveness and mild mental retardation that has material basis in mutation in the MAOA gene on chromosome location Xp11"
http://www.wikidata.org/entity/Q4979461,Bruns apraxia,gait apraxia found in patients with bilateral frontal lobe disorders
http://www.wikidata.org/entity/Q174651,Bálint's syndrome,uncommon and incompletely understood triad of severe neuropsychological impairments
http://www.wikidata.org/entity/Q1022312,C syndrome,"C syndrome is a rare multiple congenital anomaly/intellectual disability syndrome characterized by trigonocephaly and metopic suture synostosis, dysmorphic facial features, short neck, skeletal anomalies, and variable intellectual disability"
http://www.wikidata.org/entity/Q55346076,CAMOS syndrome,
http://www.wikidata.org/entity/Q5064098,CEDNIK syndrome,human disease
http://www.wikidata.org/entity/Q8075299,CHIME syndrome,"CHIME syndrome is a rare ectodermal dysplasia syndrome characterized by ocular colobomas, cardiac defects, ichthyosiform dermatosis, intellectual disability, conductive hearing loss and epilepsy"
http://www.wikidata.org/entity/Q3043481,CHMP2B-related frontotemporal dementia,human disease
http://www.wikidata.org/entity/Q55782485,CK syndrome,human disease
http://www.wikidata.org/entity/Q25326623,COACH Syndrome,"a rare autosomal recessive disorder characterised by Cerebellar vermis hypoplasia, Oligophrenia (developmental delay/mental retardation), Ataxia, Coloboma, and Hepatic fibrosis."
http://www.wikidata.org/entity/Q1150040,Caesarean madness,alleged psychiatric disorder of roman emperors
http://www.wikidata.org/entity/Q19596215,Caffeine-induced anxiety disorder,
http://www.wikidata.org/entity/Q54304132,Camel spongiform encephalopathy,medical condition
http://www.wikidata.org/entity/Q9390215,Camera-Marugo-Cohen syndrome,human disease
http://www.wikidata.org/entity/Q573557,Candaulism,Paraphilia
http://www.wikidata.org/entity/Q5032577,Cannabinoid hyperemesis syndrome,Nausea and vomiting resulting from cannabis use
http://www.wikidata.org/entity/Q65065956,Cannabis and sex,
http://www.wikidata.org/entity/Q55789834,Cantu Sanchez-Corona Fragoso syndrome,human disease
http://www.wikidata.org/entity/Q838018,Capgras syndrome,psychiatric disorder (syndrome) in which a person holds a delusion that a family member has been replaced by an identical impostor
http://www.wikidata.org/entity/Q2938099,Cardiophobia,phobia caused by fear of heart diseases
http://www.wikidata.org/entity/Q56014368,Carpenter-Waziri syndrome,
http://www.wikidata.org/entity/Q55789841,Cartwright Nelson Fryns syndrome,human disease
http://www.wikidata.org/entity/Q5051865,Catel–Manzke syndrome,"Catel-Manzke syndrome is a rare bone disease characterized by bilateral hyperphalangy and clinodactyly of the index finger typically in association with Pierre Robin sequence (see this term) comprising micrognathia, cleft palate and glossoptosis"
http://www.wikidata.org/entity/Q28024512,Cayman type cerebellar ataxia,human disease
http://www.wikidata.org/entity/Q55783421,Cerebrooculonasal syndrome,"Cerebro-oculo-nasal syndrome is a multisystem malformation syndrome that has been reported in about 10 patients. The clinical features include bilateral anophthalmia, abnormal nares, central nervous system anomalies, and neurodevelopmental delay."
http://www.wikidata.org/entity/Q16545548,Cervicogenic headache,
http://www.wikidata.org/entity/Q3281260,Charcot-Marie-Tooth disease type X,Charcot-Marie-Tooth disease that has material basis in X-linked inheritance of a point mutation in the connexin-32 gene
http://www.wikidata.org/entity/Q1063097,Charcot–Wilbrand syndrome,
http://www.wikidata.org/entity/Q2868786,Charlevoix-Saguenay spastic ataxia,"autosomal recessive spastic ataxia of Charlevoix-Saguenay (ARSACS) is a neurodegenerative disorder characterised by early-onset cerebellar ataxia with spasticity, a pyramidal syndrome and peripheral neuropathy"
http://www.wikidata.org/entity/Q3997973,Childbirth-related posttraumatic stress disorder,Psychiatric disorder associated with childbirth
http://www.wikidata.org/entity/Q3693493,Choreoathetosis,involuntary movements in a combination of chorea (irregular migrating contractions) and athetosis (twisting and writhing)
http://www.wikidata.org/entity/Q28065629,Christianson syndrome,"rare form of syndromic intellectual deficit characterized by microcephaly, severe developmental delay or regression, hypotonia, abnormal movements, and early-onset seizures"
http://www.wikidata.org/entity/Q56014366,Chudley-Lowry-Hoar syndrome,Chudley-Lowry syndrome is an X-linked mental retardation (XLMR) syndrome belonging to the group of conditions characterised by the association of intellectual deficit with hypotonic facies (Mental retardation-hypotonic facies; see this term)
http://www.wikidata.org/entity/Q47483025,Clark-Baraitser syndrome,disease
http://www.wikidata.org/entity/Q1104126,Classic autism,"A former developmental disorder, since DSM-V replaced by Autism Spectrum Condition, type 2-3, with, or without, intellectual development disorder"
http://www.wikidata.org/entity/Q66417369,Climate psychosis,
http://www.wikidata.org/entity/Q5135315,Closed-eye hallucination,Class of hallucination
http://www.wikidata.org/entity/Q5136677,Cluster B personality disorders,categorization of personality disorders
http://www.wikidata.org/entity/Q1106881,Coffin-Lowry syndrome,genetic disorder that is X-linked dominant
http://www.wikidata.org/entity/Q2348105,Coffin-Siris syndrome,"genetic disease that is characterized by underdevelopment of the tips of fingers or toes, underdevelopment or abscense of finger or toe nails and developmental disability"
http://www.wikidata.org/entity/Q1107087,Cohen syndrome,"Cohen syndrome (CS) is a rare genetic developmental disorder characterized by microcephaly, characteristic facial features, hypotonia, non-progressive intellectual deficit, myopia and retinal dystrophy, neutropenia and truncal obesity"
http://www.wikidata.org/entity/Q5151412,Comedown,Feelings after a drug's effects are fading
http://www.wikidata.org/entity/Q18348488,Communication deviance,
http://www.wikidata.org/entity/Q5156657,Complications of traumatic brain injury,Possible consequences of a brain injury
http://www.wikidata.org/entity/Q2941671,"Congenital cataracts, facial dysmorphism, and neuropathy",disease
http://www.wikidata.org/entity/Q3620998,Constructional apraxia,
http://www.wikidata.org/entity/Q2411489,Coprographia,Involuntarily writing or drawing obscenities
http://www.wikidata.org/entity/Q55346059,Corticobasal syndrome,"Corticobasal syndrome (CBS) is a rare neurodegenerative disease characterized by multifaceted motor system dysfunctions and cognitive defects such as asymmetric rigidity, bradykinesia, limb apraxia, and visuospatial dysfunction"
http://www.wikidata.org/entity/Q1136492,Costello syndrome,"syndrome characterized by craniofacial dysmorphology, cardiac defects, mild intellectual disability, and high birth weight followed by a failure to thrive and developmental delays"
http://www.wikidata.org/entity/Q1069110,Cotard delusion,mental disease
http://www.wikidata.org/entity/Q5176954,Counterdependency,Refusal of attachment
http://www.wikidata.org/entity/Q852094,Couvade syndrome,proposed medical condition
http://www.wikidata.org/entity/Q97674167,Covidiot,"word that blends ""COVID"" and ""idiot"""
http://www.wikidata.org/entity/Q19277644,Crane-Heise syndrome,"Crane-Heise syndrome is a very rare syndrome characterized by poorly mineralized calvarium, facial dysmorphism, vertebral abnormalities and absent clavicles"
http://www.wikidata.org/entity/Q51122293,Craniotelencephalic dysplasia,disease
http://www.wikidata.org/entity/Q55783480,Cree mental retardation syndrome,human disease
http://www.wikidata.org/entity/Q49989,Creutzfeldt-Jakob disease,degenerative neurological disorder
http://www.wikidata.org/entity/Q5187584,Crome syndrome,medical condition
http://www.wikidata.org/entity/Q28683899,Cult Indoctrinee Syndrome,
http://www.wikidata.org/entity/Q55781501,Czeizel-Losonci syndrome,
http://www.wikidata.org/entity/Q2003840,DES daughter,
http://www.wikidata.org/entity/Q1154764,DOOR syndrome,human disease
http://www.wikidata.org/entity/Q55786768,DYRK1A-related intellectual disability syndrome due to 21q22.13q22.2 microdeletion,human disease
http://www.wikidata.org/entity/Q2140711,Dancing mania,Medieval social phenomena
http://www.wikidata.org/entity/Q5220984,Danon disease,Human disease
http://www.wikidata.org/entity/Q55790129,Davis Lafer syndrome,human disease
http://www.wikidata.org/entity/Q3843801,DeSanctis–Cacchione syndrome,"A rare autosomal recessive inherited syndrome. It is characterized by xeroderma pigmentosum, mental retardation, dwarfism, hypogonadism, and neurologic abnormalities."
http://www.wikidata.org/entity/Q55609245,Death-grip syndrome,sexual dysfunction caused by aggressive masturbation
http://www.wikidata.org/entity/Q5250381,Deep dyslexia,Neurological disorder
http://www.wikidata.org/entity/Q4166158,"Deficits in attention, motor control and perception",proposed psychiatric diagnosis
http://www.wikidata.org/entity/Q5254901,Delusional companion syndrome,
http://www.wikidata.org/entity/Q2182344,"Delusional disorder, somatic type",
http://www.wikidata.org/entity/Q5254902,Delusional intuition,
http://www.wikidata.org/entity/Q56014575,Dennis-Fairhurst-Moore syndrome,"severe form of Hallermann-Streiff syndrome, observed in one family"
http://www.wikidata.org/entity/Q5260908,Depression in childhood and adolescence,Pediatric depressive disorders
http://www.wikidata.org/entity/Q5260912,Depression of Alzheimer disease,
http://www.wikidata.org/entity/Q3540880,Depressive Disorder Not Otherwise Specified,
http://www.wikidata.org/entity/Q388545,Dermatophagia,compulsive disorder of extreme nail or skin biting
http://www.wikidata.org/entity/Q5262716,Dermatothlasia,
http://www.wikidata.org/entity/Q5266803,Developmental dysfluency,Normal disfluency of early childhood
http://www.wikidata.org/entity/Q1561430,Developmental verbal dyspraxia,neurodevelopmental condition
http://www.wikidata.org/entity/Q55783728,Devriendt syndrome,human disease
http://www.wikidata.org/entity/Q13407052,Digital voyeurism,
http://www.wikidata.org/entity/Q1226826,Diogenes syndrome,behavioral disorder notably characterized by extreme self-neglect and compulsive hoarding
http://www.wikidata.org/entity/Q1227259,Diplophonia,medical phenomenon
http://www.wikidata.org/entity/Q1290901,Dippoldism,
http://www.wikidata.org/entity/Q5282244,Disinhibition,Lack of social and/or behavioral restraint
http://www.wikidata.org/entity/Q18459180,Disruptive mood dysregulation disorder,Mental disorder in children and adolescents
http://www.wikidata.org/entity/Q10276697,Dissociative stupor,
http://www.wikidata.org/entity/Q3092721,Doll fetish,sexual fetish involving dolls
http://www.wikidata.org/entity/Q5292874,Don Juanism,non-clinical term for male desire to have many different female sexual partners
http://www.wikidata.org/entity/Q19001108,"Drug dependence complicating pregnancy, childbirth, or the puerperium",Human disease
http://www.wikidata.org/entity/Q5308804,Drug-induced amnesia,Loss of memory caused by psychoactive substances
http://www.wikidata.org/entity/Q4167713,Drunkorexia,term for a food and drink disorder
http://www.wikidata.org/entity/Q2914812,Dual diagnosis,condition of suffering from a mental illness and a comorbid substance abuse problem
http://www.wikidata.org/entity/Q574741,Dubowitz syndrome,genetic disorder
http://www.wikidata.org/entity/Q2336418,Dysaethesia Aethiopica,alleged mental illness linked to scientific racism
http://www.wikidata.org/entity/Q5319401,Dysexecutive syndrome,condition usually resulting from brain damage
http://www.wikidata.org/entity/Q97366766,Dysorgasmia,pain caused by orgasm
http://www.wikidata.org/entity/Q5319556,Dysprosody,"neurological condition, developmental or acquired"
http://www.wikidata.org/entity/Q5322531,EAST syndrome,"SeSAME syndrome is characterized by seizures, sensorineural deafness, ataxia, intellectual deficit, and electrolyte imbalance (hypokalemia, metabolic alkalosis, and hypomagnesemia)"
http://www.wikidata.org/entity/Q492054,Eating disorder not otherwise specified,disorder
http://www.wikidata.org/entity/Q98212994,Ecophobia,the feeling of powerlessness to prevent cataclysmic environmental change
http://www.wikidata.org/entity/Q69906769,Elimination Disorders,Excretory-related psychiatric disorders usually diagnosed in infancy or childhood.
http://www.wikidata.org/entity/Q16678468,Elpenor’s Syndrome,
http://www.wikidata.org/entity/Q3144201,Excessive daytime sleepiness,Symptom characterized by persistent sleepiness during daytime
http://www.wikidata.org/entity/Q22933529,Excoriated acne,medical condition
http://www.wikidata.org/entity/Q5420055,Exercise bulimia,
http://www.wikidata.org/entity/Q5420726,Exotic ungulate encephalopathy,prion disease
http://www.wikidata.org/entity/Q55788088,FBLN1-related developmental delay-central nervous system anomaly-syndactyly syndrome,human disease
http://www.wikidata.org/entity/Q112939337,FBXW7 neurodevelopmental syndrome,medical condition
http://www.wikidata.org/entity/Q55790216,FRAXD syndrome,human disease
http://www.wikidata.org/entity/Q21051307,FRAXE intellectual disability,FRAXE is a form of nonsyndromic X-linked mental retardation (NS-XLMR) characterized by mild intellectual deficit. FRAXE is the most common form of NS-XLMR.
http://www.wikidata.org/entity/Q18553730,FTDALS1,An amyotrophic lateral sclerosis that has material basis in mutation in the C9ORF72 gene on chromosome 9. It is characterized by adult onset of either frontotemporal dementia and/or amyotrophic lateral sclerosis.
http://www.wikidata.org/entity/Q18553731,FTDALS2,An amyotrophic lateral sclerosis that has material basis in mutation in the CHCHD10 gene on chromosome 22. It is characterized by adult onset of either frontotemporal dementia and/or amyotrophic lateral sclerosis.
http://www.wikidata.org/entity/Q27164433,FTDALS3,amyotrophic lateral sclerosis that has material basis in mutation in the SQSTM1 gene on chromosome 5q35
http://www.wikidata.org/entity/Q27164434,FTDALS4,amyotrophic lateral sclerosis that has material basis in mutation in the TBK1 gene on chromosome 12q14
http://www.wikidata.org/entity/Q4346963,Factitious dermatitis,self-inflicted injuries designed to mimic dermatitis
http://www.wikidata.org/entity/Q5428701,Factitious diarrhea,infectious disease
http://www.wikidata.org/entity/Q195961,False memory syndrome,syndrome
http://www.wikidata.org/entity/Q5437105,Fasting girl,Claim of special powers
http://www.wikidata.org/entity/Q65211038,Fear of Being Offline,
http://www.wikidata.org/entity/Q1539031,Fear of God,fear or respect for the Deity
http://www.wikidata.org/entity/Q16753510,Fear of missing out,"type of social anxiety that one is either not in the know or missing out on information, events, experiences, or life decisions that could make one's life better"
http://www.wikidata.org/entity/Q5441238,Feeding disorder,"eating and feeding disorders in babies and infants, academic review."
http://www.wikidata.org/entity/Q55790235,Feingold Trainer syndrome,human disease
http://www.wikidata.org/entity/Q5445904,Fetal hydantoin syndrome,medical condition
http://www.wikidata.org/entity/Q5445919,Fetal trimethadione syndrome,medical condition
http://www.wikidata.org/entity/Q3961674,Filippi syndrome,
http://www.wikidata.org/entity/Q55783094,Fine-Lubinsky syndrome,"Fine-Lubinsky syndrome is characterised by psychomotor delay, brachycephaly with flat face, small nose, microstomia, cleft palate, cataract, hearing loss, hypoplastic scrotum and digital anomalies"
http://www.wikidata.org/entity/Q25111774,Flaccid dysarthria,medical condition
http://www.wikidata.org/entity/Q5459852,Floating-Harbor syndrome,"genetic developmental disorder characterized by facial dysmorphism, short stature with delayed bone age, and expressive language delay"
http://www.wikidata.org/entity/Q5464019,Foerster's syndrome,condition of compulsive punning described by German neurosurgeon Otfrid Foerster
http://www.wikidata.org/entity/Q108760799,Food avoidance emotional disorder,"A childhood emotional disorder in which food avoidance, in quantity and range, is the prominent feature, resulting in weight loss."
http://www.wikidata.org/entity/Q856736,Foreign accent syndrome,medical condition
http://www.wikidata.org/entity/Q5474830,Fountain syndrome,"Fountain syndrome is an extremely rare multi-systemic genetic disorder characterized by intellectual disability, deafness, skeletal abnormalities and coarse facial features"
http://www.wikidata.org/entity/Q5477713,Fragmentation of memory,psychological disorder
http://www.wikidata.org/entity/Q6137182,Frankenstein syndrome,
http://www.wikidata.org/entity/Q1453767,Fregoli delusion,psychopathological syndrome
http://www.wikidata.org/entity/Q18411789,Fried syndrome,
http://www.wikidata.org/entity/Q15043641,Frontotemporal dementia and parkinsonism linked to chromosome 17,medical condition
http://www.wikidata.org/entity/Q3508635,Fryns syndrome,disease
http://www.wikidata.org/entity/Q55790270,Fryns-Smeets-Thiry syndrome,human disease
http://www.wikidata.org/entity/Q30314097,Functional somatic syndrome,medical condition
http://www.wikidata.org/entity/Q5512866,GAPO syndrome,"GAPO syndrome is a multiple congenital anomalies (MCA) syndrome involving connective tissue characterized by Growth retardation, Alopecia, Pseudoanodontia and Ocular manifestations"
http://www.wikidata.org/entity/Q112629079,GATAD2B-associated neurodevelopmental disorder,medical condition
http://www.wikidata.org/entity/Q55787840,GM3 synthase deficiency,
http://www.wikidata.org/entity/Q5513797,GMS syndrome,medical condition
http://www.wikidata.org/entity/Q21082503,GRID2-related autosomal dominant spinocerebellar ataxia,human disease
http://www.wikidata.org/entity/Q107389455,GRIN disorder,midical disorder
http://www.wikidata.org/entity/Q3043478,GRN-related frontotemporal lobar degeneration with Tdp43 inclusions,Human disease
http://www.wikidata.org/entity/Q94262854,Gabriele-de Vries syndrome,human disease
http://www.wikidata.org/entity/Q911160,Ganser syndrome,rare dissociative disorder previously classified as a factitious disorder
