	url	name	generic_name	brand_names	drug_classes	description	warnings	related_drugs
10	https://www.drugs.com/mtm/thiothixene.html	Thiothixene	thiothixene	Navane	Thioxanthenes	Thiothixene is an antipsychotic medicine that is used to treat schizophrenia. Thiothixene may also be used for purposes not listed in this medication guide.	You should not use thiothixene if you have a blood cell disorder, or if you have drowsiness, slow breathing, weak pulse, or decreased alertness (such as after drinking alcohol or taking medicines that make you sleepy). Thiothixene is not approved for use in older adults with dementia-related psychosis.	
11	https://www.drugs.com/mtm/molindone.html	Molindone	molindone	Moban	Miscellaneous antipsychotic agents	Molindone is an antipsychotic medicine that is used to treat schizophrenia. Molindone may also be used for purposes not listed in this medication guide.	You should not use molindone if you have decreased alertness caused by taking certain medications or drinking alcohol. Molindone is not approved for use in older adults with dementia-related psychosis.	
12	https://www.drugs.com/bupropion.html	Bupropion	bupropion	Aplenzin, Forfivo XL, Wellbutrin SR, Wellbutrin XL, Zyban, Budeprion XL	Miscellaneous antidepressants, Smoking cessation agents	Bupropion is an antidepressant medication that treats major depressive disorder (MDD), seasonal affective disorder (SAD) and is used to help people to quit smoking.  It is thought to work by changing levels of certain chemicals in the brain. Zyban brand of bupropion is used to help stop smoking and other brands of bupropion may be used for MDD or SAD Bupropion may also be used for purposes not listed in this medication guide.	You should not take bupropion if you have seizures or an eating disorder, or if you have suddenly stopped using alcohol, seizure medication, or sedatives. If you take Wellbutrin for depression, do not also take Zyban to quit smoking. Do not use bupropion within 14 days before or 14 days after you have used a MAO inhibitor, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine. Some young people have thoughts about suicide when first taking an antidepressant. Stay alert to changes in your mood or symptoms. Report any new or worsening symptoms to your doctor. Bupropion may cause seizures, especially in people with certain medical conditions or when using certain drugs. Tell your doctor about all of your medical conditions and the drugs you use. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself.	
13	https://www.drugs.com/methamphetamine.html	Methamphetamine	methamphetamine	Desoxyn, Desoxyn Gradumet	Anorexiants, CNS stimulants	Methamphetamine is a central nervous system stimulant. It affects chemicals in the brain and nerves that contribute to hyperactivity and impulse control. Methamphetamine is used to treat attention deficit hyperactivity disorder (ADHD). Methamphetamine is also to treat obesity in people who have not lost weight with diets or other treatments. Methamphetamine may also be used for other indications not listed in this guide.	You should not use methamphetamine if you have glaucoma, overactive thyroid, severe agitation, moderate to severe high blood pressure, heart disease or coronary artery disease, or a history of drug abuse. Methamphetamine may be habit-forming, and this medicine is a drug of abuse. Tell your doctor if you have had problems with drug or alcohol abuse. Stimulants have caused stroke, heart attack, and sudden death in people with high blood pressure, heart disease, or a heart defect. Do not use methamphetamine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine. Methamphetamine may cause new or worsening psychosis (unusual thoughts or behavior), especially if you have a history of depression, mental illness, or bipolar disorder. You may have blood circulation problems that can cause numbness, pain, or discoloration in your fingers or toes. Call your doctor right away if you have: signs of heart problems - chest pain, feeling light-headed or short of breath; signs of psychosis - paranoia, aggression, new behavior problems, seeing or hearing things that are not real; signs of circulation problems - unexplained wounds on your fingers or toes.	
14	https://www.drugs.com/mtm/penicillamine.html	Penicillamine	penicillamine	Cuprimine, Depen, D-Penamine	Antirheumatics	Penicillamine is a chelating (KEE-late-ing) agent that binds to excess copper and removes it from the blood stream. In certain conditions, excess copper can build up in the blood stream, leading to tissue damage throughout the body. Penicillamine is used to remove excess copper in people with an inherited condition called Wilson's disease. Penicillamine is also used to reduce urine levels of an amino acid called cystine, which can cause stones to form in the kidneys and bladder in people with an inherited condition called cystinuria. Penicillamine is also used to treat severe rheumatoid arthritis after other medicines have been tried without success. Penicillamine is not approved to treat juvenile rheumatoid arthritis. Penicillamine may also be used for purposes not listed in this medication guide.	You should not use penicillamine if you are breast-feeding, if you have ever had an infection or damaged blood cells caused by penicillamine, or if you have kidney disease and you need penicillamine to treat rheumatoid arthritis. Every person taking penicillamine should remain under the close supervision of a doctor.	Enbrel, Humira, hydroxychloroquine, captopril, Remicade, Rituxan, Orencia
15	https://www.drugs.com/mtm/idursulfase.html	Idursulfase	idursulfase	Elaprase	Lysosomal enzymes	Idursulfase contains a natural enzyme that some people lack because of a genetic disorder. Idursulfase helps replace this missing enzyme. Idursulfase is used to treat some of the symptoms of a genetic condition called Hunter's syndrome, also called mucopolysaccharidosis (MYOO-koe-pol-ee-SAK-a-rye-DOE-sis). Hunter syndrome is a metabolic disorder in which the body lacks the enzyme needed to break down certain natural substances. These substances can build up in the body, causing enlarged organs, abnormal bone structure, changes in facial features, breathing problems, heart problems, vision loss, and changes in mental or physical abilities. Idursulfase may improve walking ability in people with this condition. However, this medication is not a cure for Hunter syndrome. Idursulfase may also be used for purposes not listed in this medication guide.	Some side effects may occur during the idursulfase infusion, or up to 24 hours afterward. Get emergency medical help if you have signs of an allergic reaction: feeling like you might pass out; hives; trouble breathing; seizure (convulsions); swelling of your face, lips, tongue, or throat.	
16	https://www.drugs.com/mtm/scopolamine.html	scopolamine	scopolamine (oral tablet)	Maldemar	Anticholinergic antiemetics, Anticholinergics / antispasmodics	Scopolamine reduces the secretions of certain organs in the body, such as the stomach and intestines. Scopolamine also decreases nerve signals that trigger your stomach to vomit. Scopolamine is used to prevent nausea and vomiting caused by motion sickness or from anesthesia given during surgery. Scopolamine is also used to treat certain stomach or intestinal problems, muscle spasms, and Parkinson-like conditions. Scopolamine may also be used for purposes not listed in this medication guide.	You should not use scopolamine if you have narrow-angle glaucoma, a blockage in your intestines, a severe breathing disorder, or if you are unable to urinate.	
17	https://www.drugs.com/zoloft.html	Zoloft			Selective serotonin reuptake inhibitors	Zoloft is an antidepressant that belongs to a group of drugs called selective serotonin reuptake inhibitors (SSRIs), which works by balancing serotonin levels in the brain and nerves.  Zoloft is used to treat some types of depression, premenstrual dysphoric disorder (PMDD), social anxiety disorder (SAD), obsessive-compulsive disorder (OCD), panic disorder (PD), and post traumatic stress disorder (PTSD).	You should not use Zoloft if you also take pimozide, or if you are being treated with methylene blue injection. Do not use Zoloft if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine. Some young people have thoughts about suicide when first taking an antidepressant. Stay alert to changes in your mood or symptoms. Report any new or worsening symptoms to your doctor. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. Do not stop using Zoloft without first asking your doctor.	trazodone, sertraline, fluoxetine, alprazolam, Lexapro, amitriptyline, clonazepam
18	https://www.drugs.com/alprazolam.html	Alprazolam	alprazolam	Xanax, Xanax XR, Niravam	Benzodiazepines	Alprazolam is a benzodiazepine (ben-zoe-dye-AZE-eh-peen). It is thought that it works by enhancing the activity of certain neurotransmitters in the brain. Alprazolam is used to treat anxiety disorders, panic disorders, and anxiety caused by depression. It is dangerous to purchase alprazolam on the Internet or outside the United States. The sale and distribution of medicines outside the U.S. does not comply with safe-use regulations of the Food and Drug Administration (FDA). These medications may contain dangerous ingredients, or may not be distributed by a licensed pharmacy.	MISUSE OF ALPRAZOLAM CAN CAUSE ADDICTION, OVERDOSE, OR DEATH and should be used only by the person for whom it was prescribed. Keep the medication in a place where others cannot get to it. Alprazolam can slow or stop your breathing and fatal side effects can occur if you take this medicine with alcohol, opioid medicine, or other drugs that cause drowsiness or slow your breathing. Do not stop using this medicine without asking your doctor. You may have life-threatening withdrawal symptoms if you stop using the medicine suddenly after long-term use. Some withdrawal symptoms may last up to 12 months or longer. Get medical help right away if you stop using alprazolam and have symptoms such as: unusual muscle movements, being more active or talkative, sudden and severe changes in mood or behavior, confusion, hallucinations, seizures, or thoughts about suicide. You should not use alprazolam if you have narrow-angle glaucoma, if you also take itraconazole or ketoconazole, or if you are allergic to alprazolam or similar medicines (Valium, Ativan, Tranxene, and others). Do not use alprazolam if you are pregnant. This medicine can cause birth defects or life-threatening withdrawal symptoms in a newborn.	
19	https://www.drugs.com/mtm/alprostadil-injectable-and-transurethral.html	Alprostadil (injectable and transurethral)	alprostadil (injectable and transurethral)	Caverject, Caverject Impulse, Edex, Muse, Prostin VR Pediatric, Edex Refill	Impotence agents, Vasodilators	Alprostadil is used to treat erectile dysfunction (impotence) and to help diagnose certain causes of this disorder. Alprostadil is also used to improve blood flow in newborn babies with heart problems. This medication guide addresses only the adult male use of alprostadil in erectile disorders. Alprostadil relaxes blood vessels and muscles in the penis which increases blood flow, causing an erection. Alprostadil may also be used for purposes not listed in this medication guide.	This medication guide addresses only the adult male use of alprostadil in erectile disorders. Seek emergency medical attention if you have a painful or prolonged erection lasting 4 hours or longer.	ibuprofen, sildenafil, tadalafil, Advil, Viagra, Motrin, Cialis
20	https://www.drugs.com/amitriptyline.html	Amitriptyline	amitriptyline	Elavil, Endep, Vanatrip	Tricyclic antidepressants	Amitriptyline is a tricyclic antidepressant with sedative effects. Amitriptyline affects certain chemical messengers (neurotransmitters) that communicate between brain cells and help regulate mood. Amitriptyline is a prescription medicine used to treat symptoms of depression. Amitriptyline may also be used for purposes not listed in this medication guide.	You should not use amitriptyline if you have recently had a heart attack. Do not use amitriptyline if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine. You may have thoughts about suicide when you first start taking an antidepressant such as amitriptyline, especially if you are younger than 24 years old. Your doctor will need to check you at regular visits for at least the first 12 weeks of treatment. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself.	Belsomra, aspirin, acetaminophen, prednisone, ibuprofen, tramadol, trazodone
21	https://www.drugs.com/cdi/amobarbital.html	Amobarbital	Amobarbital	Amytal Sodium	Barbiturates			trazodone, hydroxyzine, lorazepam, fentanyl, promethazine, Ativan
22	https://www.drugs.com/mtm/amoxapine.html	Amoxapine	amoxapine	Asendin	Tricyclic antidepressants	Amoxapine is a tricyclic antidepressant that is used to treat symptoms of depression, anxiety, or agitation. Amoxapine may also be used for purposes not listed in this medication guide.	You should not use amoxapine if you have recently had a heart attack. Do not use  amoxapine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine. Some young people have thoughts about suicide when first taking an antidepressant. Stay alert to changes in your mood or symptoms. Report any new or worsening symptoms to your doctor.	
23	https://www.drugs.com/aripiprazole.html	Aripiprazole	aripiprazole (oral)	Abilify	Atypical antipsychotics	Aripiprazole is an antipsychotic medicine that is used to treat schizophrenia in adults and children at least 13 years old. Aripiprazole is also used in children 6 years or older who have Tourette's disorder, or symptoms of autistic disorder (irritability, aggression, mood swings, temper tantrums, and self-injury). Aripiprazole is used alone or with a mood stabilizer medicine to treat bipolar I disorder (manic depression) in adults and children at least 10 years old. Aripiprazole is used with antidepressant medication to treat major depressive disorder in adults.	Aripiprazole is not approved for use in older adults with dementia-related psychosis. People with depression or mental illness may have thoughts about suicide. Some young people may have increased suicidal thoughts when first starting a medicine to treat depression. Tell your doctor right away if you have any sudden changes in mood or behavior, or thoughts about suicide. Do not stop using aripiprazole suddenly, or you could have unpleasant withdrawal symptoms. Avoid driving and doing other tasks or actions that call for you to be alert or have clear eyesight until you see how aripiprazole affects you. High blood sugar or diabetes, high cholesterol, and weight gain have happened with drugs like this one. These may raise the chance of heart and brain blood vessel disease. Low white blood cell counts have happened with drugs like this one. This may lead to a higher chance of infection. Rarely, infections have been deadly. Tell your doctor if you have ever had a low white blood cell count. Call your doctor right away if you have signs of infection like fever, chills, or sore throat.	
24	https://www.drugs.com/mtm/armodafinil.html	Armodafinil	armodafinil	Nuvigil	CNS stimulants	Armodafinil is a medication that promotes wakefulness. Armodafinil is used to treat excessive sleepiness caused by sleep apnea, narcolepsy, or shift work sleep disorder. Armodafinil may also be used for purposes not listed in this medication guide.	You should not use  armodafinil if you have ever had a rash or allergic reaction caused by armodafinil or modafinil (Provigil). Stop taking armodafinil and call your doctor if you have a skin rash, no matter how mild. Other signs of a severe reaction include fever, swelling in your face or tongue, mouth sores, trouble breathing, swelling in your legs, yellowing of your skin or eyes, and skin rash or blistering sores.	Adderall, methylphenidate, Concerta, Ritalin, modafinil, dextroamphetamine, Provigil
25	https://www.drugs.com/mtm/atomoxetine.html	Atomoxetine	atomoxetine	Strattera	Adrenergic uptake inhibitors for ADHD	Atomoxetine is used to treat attention deficit hyperactivity disorder (ADHD). Atomoxetine may also be used for purposes not listed in this medication guide.	Some people have thoughts about suicide while taking atomoxetine. Stay alert to changes in your mood or symptoms. Report any new or worsening symptoms to your doctor. Do not use  atomoxetine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine. Atomoxetine may cause new or worsening psychosis (unusual thoughts or behavior), especially if you have a history of depression, mental illness, or bipolar disorder. Atomoxetine has caused stroke, heart attack, and sudden death in people with high blood pressure, heart disease, or a heart defect.	Adderall, Vyvanse, methylphenidate, Concerta, Ritalin, Strattera
26	https://www.drugs.com/mtm/bexarotene.html	Bexarotene	bexarotene	Targretin	Miscellaneous antineoplastics	Bexarotene is used to treat skin lesions caused by a rare type of cancer called cutaneous T-cell lymphoma. Bexarotene is usually given after other treatments have failed. Bexarotene may also be used for purposes not listed in this medication guide.	Bexarotene can harm an unborn baby or cause birth defects if the mother or the father is using  bexarotene. Do not use bexarotene if you are pregnant. Both men and women using bexarotene should use effective birth control to prevent pregnancy, beginning 1 month before starting and continuing until at least 1 month after stopping treatment. Stop using this medicine and tell your doctor right away if you stop using birth control, if you miss a menstrual period, or if a pregnancy occurs while either the mother or the father is using bexarotene.	
27	https://www.drugs.com/mtm/brexpiprazole.html	Brexpiprazole	brexpiprazole	Rexulti	Atypical antipsychotics	Brexpiprazole is an antipsychotic medication that is used to treat the symptoms of schizophrenia. It is also used together with other medications to treat major depressive disorder in adults. Brexpiprazole may also be used for purposes not listed in this medication guide.	Brexpiprazole is not approved for use in older adults with dementia-related psychosis. Some young people have thoughts about suicide when first taking  brexpiprazole. Stay alert to changes in your mood or symptoms. Report any new or worsening symptoms to your doctor. Brexpiprazole is not approved for use by anyone younger than 18 years old.	Rexulti, Latuda, trazodone, sertraline, Lexapro, citalopram, Zoloft
28	https://www.drugs.com/buprenorphine.html	Buprenorphine	buprenorphine (oral/sublingual)	Subutex	Opioids (narcotic analgesics)	Buprenorphine is an opioid medication. Buprenorphine sublingual tablets (given under the tongue) are a prescription medicine used to treat opioid addiction (either prescription or illegal drugs), as part of a complete treatment program that also includes counseling and behavioral therapy. Buprenorphine sublingual tablets are most often used for the first 1 or 2 days to help you start with treatment. Other forms of buprenorphine are used to treat moderate to severe pain.	Buprenorphine sublingual tablets are not for use as a pain medication. MISUSE OF OPIOID MEDICINE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH. Keep buprenorphine in a place where others cannot get to it. Taking buprenorphine during pregnancy may cause life-threatening withdrawal symptoms in the newborn. Fatal side effects can occur if you use buprenorphine with alcohol, or with other drugs that cause drowsiness or slow your breathing.	Subutex, Sublocade, Zubsolv, Buprenex, Bunavail, Probuphine, aspirin
29	https://www.drugs.com/buspirone.html	Buspirone	buspirone	BuSpar, BuSpar Dividose, Vanspar	Miscellaneous anxiolytics, sedatives and hypnotics	Buspirone is an anti-anxiety medicine that affects chemicals in the brain that may be unbalanced in people with anxiety. Buspirone is used to treat symptoms of anxiety, such as fear, tension, irritability, dizziness, pounding heartbeat, and other physical symptoms. Buspirone is not an anti-psychotic medication and should not be used in place of medication prescribed by your doctor for psychotic disorders.	Do not use buspirone if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, and tranylcypromine.	sertraline, escitalopram, fluoxetine, alprazolam, duloxetine, Lexapro, Zoloft
30	https://www.drugs.com/mtm/butabarbital.html	Butabarbital	butabarbital	Butisol Sodium, Busodium	Barbiturates	Butabarbital is a barbiturate (bar-BIT-chur-ate). Butabarbital slows the activity of your brain and nervous system. Butabarbital is used as a sedative. Butabarbital is also used short-term to treat insomnia, or as a sedative before surgery. Butabarbital may also be used for purposes not listed in this medication guide.	You should not use butabarbital if you have porphyria.	trazodone, hydroxyzine, lorazepam, fentanyl, promethazine, Ativan
31	https://www.drugs.com/carbamazepine.html	Carbamazepine	carbamazepine (oral)	Carbatrol, Epitol, Equetro, Tegretol, Tegretol XR	Dibenzazepine anticonvulsants	Carbamazepine is an anticonvulsant. It works by decreasing nerve impulses that cause seizures and nerve pain, such as trigeminal neuralgia and diabetic neuropathy. Carbamazepine is also used to treat bipolar disorder. Carbamazepine may also be used for purposes not listed in this medication guide.	You should not take carbamazepine if you have a history of bone marrow suppression, if you are allergic to it, or take an antidepressant such as amitriptyline, desipramine, doxepin, imipramine, or nortriptyline. TELL YOUR DOCTOR ABOUT ALL OTHER MEDICINES YOU USE. Some drugs can raise or lower your blood levels of carbamazepine, which may cause side effects or make this medicine less effective. Carbamazepine can also affect blood levels of certain other drugs, making them less effective or increasing side effects. Carbamazepine may cause serious blood problems or a life-threatening skin rash or allergic reaction. Call your doctor if you have a fever, unusual weakness, bleeding, bruising, or a skin rash that causes blistering and peeling. Some people have thoughts about suicide while taking seizure medicine. Stay alert to changes in your mood or symptoms. Report any new or worsening symptoms to your doctor. Do not stop taking this medicine without asking your doctor first, even if you feel fine. If you are pregnant, do not start or stop taking carbamazepine without your doctor's advice.	
