disease_wiki_id,disease_name,description,drugs,symptoms,risk_factors
Q474254,Bannayan-Riley-Ruvalcaba syndrome,"a rare overgrowth syndrome and hamartomatous disorder with occurrence of multiple subcutaneous lipomas, macrocephaly and hemangiomas.",,,
Q4859683,Barbie syndrome,desire to have a physical appearance and lifestyle representative of the Barbie doll,,,
Q48973749,Barré–Liéou syndrome,medical condition,,,
Q102296627,Basilicata-Akhtar syndrome,human disease,,,
Q6898244,Bathophobia,fear of depths,,,
Q51796815,Bd syndrome,disease,,,
Q4876973,Beat deafness,Form of amusia characterized by a person's inability to distinguish musical rhythm,,,
Q106996443,Bell's mania,disease,,,
Q24977061,Benign hereditary chorea,medical condition,,,
Q4889456,Benjamin syndrome,hypochromic anemia with mental deficiency and various craniofacial and other anomalies.,,,
Q4890788,Benzodiazepine overdose,high doses of benzodiazepines and the side effects,,,
Q16944551,Biemond syndrome,"Brachydactyly-nystagmus-cerebellar ataxia syndrome is characterized by brachydactyly, nystagmus and cerebellar ataxia. Intellectual deficit and strabismus are also reported in some patients.",,,
Q51826234,Biemond syndrome type 2,disease,,,
Q1399293,Binswanger's disease,form of small vessel vascular dementia caused by damage to the white brain matter,,,
Q3540858,Bipolar disorder not otherwise specified,medical condition,,,
Q18553391,Birk-Barel syndrome,Human disease,,,
Q3983411,BlackBerry thumb,,,,
Q4931259,Boanthropy,psychological disorder in which a human believes themself to be a bovine,,,
Q4936774,Body-focused repetitive behavior disorders,Mental and behaviour disorders including skin picking and hair pulling,,,
Q1986152,Bogart–Bacall syndrome,voice disorder caused by abuse or overuse of the vocal cords,,,
Q4938225,Bohring-Opitz,Bohring-Opitz Syndrome is an extremely rare genetic syndrome.This syndrome is diagnosed by genetic testing and is a mutation in the ASXL1 gene.,,,
Q55781860,Bonnemann-Meinecke-Reich syndrome,,,,
Q1019940,Borjeson-Forssman-Lehmann syndrome,genetic condition in humans,,,
Q894689,Botellón,congregate in public areas to socialize while drinking alcohol,,,
Q18553398,Bowen-Conradi syndrome,Human disease,,,
Q4955819,Brain fag,A set of symptoms relating to excessive academic or intellectual pressure in the young,,,
Q917616,Briquet's syndrome,syndrome,,,
Q28065633,Brooks-Wisniewski-Brown syndrome,"syndromic X-linked intellectual disability characterized by intellectual disability, distinct facial appearance and growth retardation that has material basis in variation on the X chromosome",,,
Q4979092,Brunner Syndrome,"amino acid metabolic disorder characterized by recessive X-linked inhetiance, impaired monoamine metabolism, impulsive aggressiveness and mild mental retardation that has material basis in mutation in the MAOA gene on chromosome location Xp11",,,
Q4979461,Bruns apraxia,gait apraxia found in patients with bilateral frontal lobe disorders,,,
Q174651,Bálint's syndrome,uncommon and incompletely understood triad of severe neuropsychological impairments,,"['oculomotor apraxia', 'optic ataxia', 'simultanagnosia']",
Q1022312,C syndrome,"C syndrome is a rare multiple congenital anomaly/intellectual disability syndrome characterized by trigonocephaly and metopic suture synostosis, dysmorphic facial features, short neck, skeletal anomalies, and variable intellectual disability",,,
Q55346076,CAMOS syndrome,,,,
Q5064098,CEDNIK syndrome,human disease,,,
Q8075299,CHIME syndrome,"CHIME syndrome is a rare ectodermal dysplasia syndrome characterized by ocular colobomas, cardiac defects, ichthyosiform dermatosis, intellectual disability, conductive hearing loss and epilepsy",,,
Q3043481,CHMP2B-related frontotemporal dementia,human disease,,,
Q55782485,CK syndrome,human disease,,,
Q25326623,COACH Syndrome,"a rare autosomal recessive disorder characterised by Cerebellar vermis hypoplasia, Oligophrenia (developmental delay/mental retardation), Ataxia, Coloboma, and Hepatic fibrosis.",,,
Q1150040,Caesarean madness,alleged psychiatric disorder of roman emperors,,,
Q19596215,Caffeine-induced anxiety disorder,,,,
Q54304132,Camel spongiform encephalopathy,medical condition,,,
Q9390215,Camera-Marugo-Cohen syndrome,human disease,,,
Q573557,Candaulism,Paraphilia,,,
Q5032577,Cannabinoid hyperemesis syndrome,Nausea and vomiting resulting from cannabis use,,['hyperemesis'],
Q65065956,Cannabis and sex,,,,
Q55789834,Cantu Sanchez-Corona Fragoso syndrome,human disease,,,
Q838018,Capgras syndrome,psychiatric disorder (syndrome) in which a person holds a delusion that a family member has been replaced by an identical impostor,,,
Q2938099,Cardiophobia,phobia caused by fear of heart diseases,,,
Q56014368,Carpenter-Waziri syndrome,,,,
Q55789841,Cartwright Nelson Fryns syndrome,human disease,,,
Q5051865,Catel–Manzke syndrome,"Catel-Manzke syndrome is a rare bone disease characterized by bilateral hyperphalangy and clinodactyly of the index finger typically in association with Pierre Robin sequence (see this term) comprising micrognathia, cleft palate and glossoptosis",,,
Q28024512,Cayman type cerebellar ataxia,human disease,,,
Q55783421,Cerebrooculonasal syndrome,"Cerebro-oculo-nasal syndrome is a multisystem malformation syndrome that has been reported in about 10 patients. The clinical features include bilateral anophthalmia, abnormal nares, central nervous system anomalies, and neurodevelopmental delay.",,,
Q16545548,Cervicogenic headache,,,,
Q3281260,Charcot-Marie-Tooth disease type X,Charcot-Marie-Tooth disease that has material basis in X-linked inheritance of a point mutation in the connexin-32 gene,,,
Q1063097,Charcot–Wilbrand syndrome,,,,
Q2868786,Charlevoix-Saguenay spastic ataxia,"autosomal recessive spastic ataxia of Charlevoix-Saguenay (ARSACS) is a neurodegenerative disorder characterised by early-onset cerebellar ataxia with spasticity, a pyramidal syndrome and peripheral neuropathy",,,
Q3997973,Childbirth-related posttraumatic stress disorder,Psychiatric disorder associated with childbirth,,,
Q3693493,Choreoathetosis,involuntary movements in a combination of chorea (irregular migrating contractions) and athetosis (twisting and writhing),,,
Q28065629,Christianson syndrome,"rare form of syndromic intellectual deficit characterized by microcephaly, severe developmental delay or regression, hypotonia, abnormal movements, and early-onset seizures",,,
Q56014366,Chudley-Lowry-Hoar syndrome,Chudley-Lowry syndrome is an X-linked mental retardation (XLMR) syndrome belonging to the group of conditions characterised by the association of intellectual deficit with hypotonic facies (Mental retardation-hypotonic facies; see this term),,,
Q47483025,Clark-Baraitser syndrome,disease,,,
Q1104126,Classic autism,"A former developmental disorder, since DSM-V replaced by Autism Spectrum Condition, type 2-3, with, or without, intellectual development disorder",,,
Q66417369,Climate psychosis,,,,
Q5135315,Closed-eye hallucination,Class of hallucination,,,
Q5136677,Cluster B personality disorders,categorization of personality disorders,,,
Q1106881,Coffin-Lowry syndrome,genetic disorder that is X-linked dominant,,,
Q2348105,Coffin-Siris syndrome,"genetic disease that is characterized by underdevelopment of the tips of fingers or toes, underdevelopment or abscense of finger or toe nails and developmental disability",,,
Q1107087,Cohen syndrome,"Cohen syndrome (CS) is a rare genetic developmental disorder characterized by microcephaly, characteristic facial features, hypotonia, non-progressive intellectual deficit, myopia and retinal dystrophy, neutropenia and truncal obesity",,,
Q5151412,Comedown,Feelings after a drug's effects are fading,,,
Q18348488,Communication deviance,,,,
Q5156657,Complications of traumatic brain injury,Possible consequences of a brain injury,,,
Q2941671,"Congenital cataracts, facial dysmorphism, and neuropathy",disease,,,
Q3620998,Constructional apraxia,,,,
Q2411489,Coprographia,Involuntarily writing or drawing obscenities,,,
Q55346059,Corticobasal syndrome,"Corticobasal syndrome (CBS) is a rare neurodegenerative disease characterized by multifaceted motor system dysfunctions and cognitive defects such as asymmetric rigidity, bradykinesia, limb apraxia, and visuospatial dysfunction",,"['akinetic-rigid syndrome', 'dystonia', 'Alien hand syndrome', 'myoclonus', 'aphasia', 'limb apraxia', 'speech disorder', 'dyscalculia', 'visuospatial deficit']",
Q1136492,Costello syndrome,"syndrome characterized by craniofacial dysmorphology, cardiac defects, mild intellectual disability, and high birth weight followed by a failure to thrive and developmental delays",,,
Q1069110,Cotard delusion,mental disease,,,
Q5176954,Counterdependency,Refusal of attachment,,,
Q852094,Couvade syndrome,proposed medical condition,,,
Q97674167,Covidiot,"word that blends ""COVID"" and ""idiot""",,,
Q19277644,Crane-Heise syndrome,"Crane-Heise syndrome is a very rare syndrome characterized by poorly mineralized calvarium, facial dysmorphism, vertebral abnormalities and absent clavicles",,,
Q51122293,Craniotelencephalic dysplasia,disease,,,
Q55783480,Cree mental retardation syndrome,human disease,,,
Q49989,Creutzfeldt-Jakob disease,degenerative neurological disorder,,"['dementia', 'myoclonus']",
Q5187584,Crome syndrome,medical condition,,,
Q28683899,Cult Indoctrinee Syndrome,,,,
Q55781501,Czeizel-Losonci syndrome,,,,
Q2003840,DES daughter,,,,
Q1154764,DOOR syndrome,human disease,,,
Q55786768,DYRK1A-related intellectual disability syndrome due to 21q22.13q22.2 microdeletion,human disease,,,
Q2140711,Dancing mania,Medieval social phenomena,,,
Q5220984,Danon disease,Human disease,,,
Q55790129,Davis Lafer syndrome,human disease,,,
Q3843801,DeSanctis–Cacchione syndrome,"A rare autosomal recessive inherited syndrome. It is characterized by xeroderma pigmentosum, mental retardation, dwarfism, hypogonadism, and neurologic abnormalities.",,,
Q55609245,Death-grip syndrome,sexual dysfunction caused by aggressive masturbation,,,
Q5250381,Deep dyslexia,Neurological disorder,,,
Q4166158,"Deficits in attention, motor control and perception",proposed psychiatric diagnosis,,,
Q5254901,Delusional companion syndrome,,,,
Q2182344,"Delusional disorder, somatic type",,,,
Q5254902,Delusional intuition,,,,
Q56014575,Dennis-Fairhurst-Moore syndrome,"severe form of Hallermann-Streiff syndrome, observed in one family",,,
Q5260908,Depression in childhood and adolescence,Pediatric depressive disorders,,,
Q5260912,Depression of Alzheimer disease,,,,
Q3540880,Depressive Disorder Not Otherwise Specified,,,,
Q388545,Dermatophagia,compulsive disorder of extreme nail or skin biting,,,
Q5262716,Dermatothlasia,,,,
Q5266803,Developmental dysfluency,Normal disfluency of early childhood,,,
Q1561430,Developmental verbal dyspraxia,neurodevelopmental condition,,,
Q55783728,Devriendt syndrome,human disease,,,
Q13407052,Digital voyeurism,,,,
Q1226826,Diogenes syndrome,behavioral disorder notably characterized by extreme self-neglect and compulsive hoarding,,,
Q1227259,Diplophonia,medical phenomenon,,,
Q1290901,Dippoldism,,,,
Q5282244,Disinhibition,Lack of social and/or behavioral restraint,,,
Q18459180,Disruptive mood dysregulation disorder,Mental disorder in children and adolescents,,,
Q10276697,Dissociative stupor,,,,
Q3092721,Doll fetish,sexual fetish involving dolls,,,
Q5292874,Don Juanism,non-clinical term for male desire to have many different female sexual partners,,,
Q19001108,"Drug dependence complicating pregnancy, childbirth, or the puerperium",Human disease,,,
Q5308804,Drug-induced amnesia,Loss of memory caused by psychoactive substances,,,
Q4167713,Drunkorexia,term for a food and drink disorder,,,
Q2914812,Dual diagnosis,condition of suffering from a mental illness and a comorbid substance abuse problem,,,
Q574741,Dubowitz syndrome,genetic disorder,,['petoze'],
Q2336418,Dysaethesia Aethiopica,alleged mental illness linked to scientific racism,,,
Q5319401,Dysexecutive syndrome,condition usually resulting from brain damage,,,
Q97366766,Dysorgasmia,pain caused by orgasm,,,
Q5319556,Dysprosody,"neurological condition, developmental or acquired",,,
Q5322531,EAST syndrome,"SeSAME syndrome is characterized by seizures, sensorineural deafness, ataxia, intellectual deficit, and electrolyte imbalance (hypokalemia, metabolic alkalosis, and hypomagnesemia)",,,
Q492054,Eating disorder not otherwise specified,disorder,,,
Q98212994,Ecophobia,the feeling of powerlessness to prevent cataclysmic environmental change,,,
Q69906769,Elimination Disorders,Excretory-related psychiatric disorders usually diagnosed in infancy or childhood.,,,
Q16678468,Elpenor’s Syndrome,,,,
Q3144201,Excessive daytime sleepiness,Symptom characterized by persistent sleepiness during daytime,,['somnolence'],
Q22933529,Excoriated acne,medical condition,,,
Q5420055,Exercise bulimia,,,,
Q5420726,Exotic ungulate encephalopathy,prion disease,,,
Q55788088,FBLN1-related developmental delay-central nervous system anomaly-syndactyly syndrome,human disease,,,
Q112939337,FBXW7 neurodevelopmental syndrome,medical condition,,,
Q55790216,FRAXD syndrome,human disease,,,
Q21051307,FRAXE intellectual disability,FRAXE is a form of nonsyndromic X-linked mental retardation (NS-XLMR) characterized by mild intellectual deficit. FRAXE is the most common form of NS-XLMR.,,,
Q18553730,FTDALS1,An amyotrophic lateral sclerosis that has material basis in mutation in the C9ORF72 gene on chromosome 9. It is characterized by adult onset of either frontotemporal dementia and/or amyotrophic lateral sclerosis.,,,
Q18553731,FTDALS2,An amyotrophic lateral sclerosis that has material basis in mutation in the CHCHD10 gene on chromosome 22. It is characterized by adult onset of either frontotemporal dementia and/or amyotrophic lateral sclerosis.,,,
Q27164433,FTDALS3,amyotrophic lateral sclerosis that has material basis in mutation in the SQSTM1 gene on chromosome 5q35,,,
Q27164434,FTDALS4,amyotrophic lateral sclerosis that has material basis in mutation in the TBK1 gene on chromosome 12q14,,,
Q4346963,Factitious dermatitis,self-inflicted injuries designed to mimic dermatitis,,,
Q5428701,Factitious diarrhea,infectious disease,,,
Q195961,False memory syndrome,syndrome,,,
Q5437105,Fasting girl,Claim of special powers,,,
Q65211038,Fear of Being Offline,,,,
Q1539031,Fear of God,fear or respect for the Deity,,,
Q16753510,Fear of missing out,"type of social anxiety that one is either not in the know or missing out on information, events, experiences, or life decisions that could make one's life better",,,
Q5441238,Feeding disorder,"eating and feeding disorders in babies and infants, academic review.",,,
Q55790235,Feingold Trainer syndrome,human disease,,,
Q5445904,Fetal hydantoin syndrome,medical condition,,,
Q5445919,Fetal trimethadione syndrome,medical condition,,,
Q3961674,Filippi syndrome,,,,
Q55783094,Fine-Lubinsky syndrome,"Fine-Lubinsky syndrome is characterised by psychomotor delay, brachycephaly with flat face, small nose, microstomia, cleft palate, cataract, hearing loss, hypoplastic scrotum and digital anomalies",,,
Q25111774,Flaccid dysarthria,medical condition,,,
Q5459852,Floating-Harbor syndrome,"genetic developmental disorder characterized by facial dysmorphism, short stature with delayed bone age, and expressive language delay",,,
Q5464019,Foerster's syndrome,condition of compulsive punning described by German neurosurgeon Otfrid Foerster,,,
Q108760799,Food avoidance emotional disorder,"A childhood emotional disorder in which food avoidance, in quantity and range, is the prominent feature, resulting in weight loss.",,,
Q856736,Foreign accent syndrome,medical condition,,,
Q5474830,Fountain syndrome,"Fountain syndrome is an extremely rare multi-systemic genetic disorder characterized by intellectual disability, deafness, skeletal abnormalities and coarse facial features",,,
Q5477713,Fragmentation of memory,psychological disorder,,,
Q6137182,Frankenstein syndrome,,,,
Q1453767,Fregoli delusion,psychopathological syndrome,,,
Q18411789,Fried syndrome,,,,
Q15043641,Frontotemporal dementia and parkinsonism linked to chromosome 17,medical condition,,,
Q3508635,Fryns syndrome,disease,,,
Q55790270,Fryns-Smeets-Thiry syndrome,human disease,,,
Q30314097,Functional somatic syndrome,medical condition,,,
Q5512866,GAPO syndrome,"GAPO syndrome is a multiple congenital anomalies (MCA) syndrome involving connective tissue characterized by Growth retardation, Alopecia, Pseudoanodontia and Ocular manifestations",,,
Q112629079,GATAD2B-associated neurodevelopmental disorder,medical condition,,,
Q55787840,GM3 synthase deficiency,,,,
Q5513797,GMS syndrome,medical condition,,,
Q21082503,GRID2-related autosomal dominant spinocerebellar ataxia,human disease,,,
Q107389455,GRIN disorder,midical disorder,,,
Q3043478,GRN-related frontotemporal lobar degeneration with Tdp43 inclusions,Human disease,,,
Q94262854,Gabriele-de Vries syndrome,human disease,,,
Q911160,Ganser syndrome,rare dissociative disorder previously classified as a factitious disorder,,['twilight state'],
Q55790274,Garret Tripp syndrome,human disease,,,
Q9300438,Gear acquisition syndrome,,,,
Q55345943,Gemignani syndrome,human disease,,,
Q10864060,General adaptation syndrome,,,,
Q5533246,Genitopatellar syndrome,medical condition,,,
Q5535458,Geomelophagia,,,,
Q383228,Gerstmann-Straussler-Scheinker syndrome,"prion disease characterized by adult onset of memory loss, dementia, ataxia, and pathologic deposition of amyloid-like plaques in the brain",,"['ataxia', 'dementia']",
Q1826263,Gestaltzerfall,visual agnosia,,,
Q5557311,Ghost sickness,cultural belief,,,
Q55783942,Giacheti syndrome,human disease,,,
Q5562120,Gillespie syndrome,medical condition,,,
Q5567102,Glass delusion,mental disorder from the Middle Ages,,,
Q2680381,Godot's syndrome,anxiety regarding upcoming events,,,
Q3508639,Goldberg-Shprintzen syndrome,"A syndrome characterized by intellectual disability, specific facial gestalt and Hirschsprung's disease (HSCR). It has material basis in homozygous mutation in the KIAA1279 gene on chromosome 10q21.1.",,,
Q25324175,Gomez and López-Hernández syndrome,medical condition,,,
Q3007167,Gorean subculture,subculture connected with John Norman's series of Gor novels,,,
Q5588436,Gourmand syndrome,Rare eating disorder caused by injury to the frontal lobe,,,
Q60574720,Grammar Pedantry Syndrome,,,,
Q18392425,Graphorrhea,Disorder of incoherent written rambling,,,
Q55781924,Grubben-de Cock-Borghgraef syndrome,,,,
Q11811700,Guadeloupean parkinsonism,"Parkinsonism with dementia of Guadeloupe is characterised by symmetrical bradykinesia, predominantly axial rigidity, postural instability with early falls and cognitive decline with prominent features of frontal lobe dysfunction",,,
Q65063382,HIDEA syndrome,medical condition,,,
Q50846110,HSD10 disease,,,,
Q5641058,Halal syndrome,human disease,,,
Q55781926,Hall-Riggs syndrome,"Hall-Riggs syndrome is a very rare syndrome consisting of microcephaly with facial dysmorphism, spondylometaepiphyseal dysplasia and severe intellectual deficit",,,
Q1459851,Hallermann-Streiff syndrome,congenital disorder,,,
Q5643617,Haltlose personality disorder,proposed personality disorder,,,
Q55788871,Hamel cerebro-palato-cardiac syndrome,,,,
Q5656137,Harding ataxia,medical condition,,,
Q55782932,Harrod syndrome,,,,
Q5689498,Headache attributed to a substance or its withdrawal,medical condition,,,
Q4116329,Health effects of wine,potential health effects resulting from drinking wine,,,
Q426620,Heautoscopy,,,,
Q50349632,Helsmoortel-Van Der Aa syndrome,An autosomal dominant non-syndromic intellectual disability that has material basis in an autosomal dominant mutation of ADNP on chromosome 20q13.13.,,,
Q17145743,Hemimotor neglect,neuropsychological condition,,,
Q55786116,Hern,,,,
Q55780948,Hirsutism-skeletal dysplasia-intellectual disability syndrome,human disease,,,
Q5880534,Holiday heart syndrome,medical condition,,,
Q56014365,Holmes-Gang syndrome,,,,
Q17030626,Homicidal ideation,common medical term for thoughts about homicide,,,
Q190564,Huntington's disease,"rare neurodegenerative disorder of the central nervous system characterized by unwanted choreatic movements, behavioral and psychiatric disturbances and dementia","['tetrabenazine', 'ubidecarenone', 'pimozide', 'perphenazine', '(RS)-baclofen']","['choreatic disease', 'personality changes', 'weight loss', 'dementia']",
Q24977062,Huntington's disease-like syndrome,human disease,,,
Q716847,Hwabyeong,mental illness,,,
Q5952606,Hyalophagia,eating disorder that is characterized by an appetite for glass,,,
Q5958196,Hyperkatifeia,,,,
Q25111776,Hypermerimna,,,,
Q17155582,Hypernasal speech,medical condition,,,
Q5958422,Hyperorgasmia,,,,
Q5958573,Hypersexual disorder,proposed diagnosis in clinical-psychology; prev. Nymphomania (f.) & Satyriasis (m.),,,
Q5960001,Hypophonia,,,,
Q16947142,Hysteroid dysphoria,,,,
Q55346051,ITM2B amyloidosis,human disease,,,
Q5986402,Ichthyoallyeinotoxism,hallucination caused by eating certain species of fish,,,
Q5988100,Ideational apraxia,,,,
Q25100073,Identity disturbance,deficiency or inability to maintain one or more major components of identity,,,
Q38076020,Ideophrenia,"disused Russian psychiatric diagnosis, was gradually replaced by ""schizophrenia""",,,
Q1656812,Idiolalia,"language,  unintelligible for other people, that  occurs in schizophrenia and similar diseases",,,
Q2730080,Idiopathic Hypersomnia,neurological disorder which is characterized primarily by excessive sleep and excessive daytime sleepiness,,,
Q259065,Imaginary friend,phenomenon where a friendship or other interpersonal relationship takes place in imagination,,,
Q6005911,Impact of alcohol on aging,none,,,
Q6029060,Infantile neuroaxonal dystrophy,describes several similar diseases,,,
Q6029065,Infantile speech,,,,
Q108018120,Infectious Psychosis,mental disorder occurring after or during a serious infectious disease,,,
Q3043342,Intensive care unit delirium,,,,
Q17142111,Interictal dysphoric disorder,,,,
Q3417919,Intermetamorphosis,medical condition,,,
Q831735,Internet addiction disorder,excessive internet use that causes psychological disorders.,,,
Q3377827,Internet phobia,,,,
Q1514248,Internet sex addiction,behavioral addiction,,,
Q16944791,Intravenous Marijuana Syndrome,,,,
Q13476327,Ipovlopsychophobia,,,,
Q2703116,Isodicentric 15,medical condition,,,
Q6160183,Jargon aphasia,type of aphasia involving noun selection difficulty,,,
Q55782103,Jawad syndrome,human disease,,,
Q1124410,Jerusalem syndrome,group of mental phenomena,,,
Q16940647,Johnson–McMillin syndrome,"Johnson neuroectodermal syndrome is characterised by alopecia, anosmia or hyposmia, conductive deafness with malformed ears and microtia and/or atresia of the external auditory canal, and hypogonadotropic hypogonadism",,,
Q1101694,Joubert syndrome,"Joubert syndrome (JS) is characterized by congenital malformation of the brainstem and agenesis or hypoplasia of the cerebellar vermis leading to an abnormal respiratory pattern, nystagmus, hypotonia, ataxia, and delay in achieving motor milestones",,,
Q55345933,Joubert syndrome and related disorders,,,,
